Pos,No,Driver,Car,Lap,Time
1,0,Damon HillHIL,Williams Renault,4,1:19.678
2,5,Michael SchumacherMSC,Benetton Ford,3,1:19.753
3,27,Jean AlesiALE,Ferrari,3,1:20.220
4,2,Nigel MansellMAN,Williams Renault,4,1:20.242
5,28,Gerhard BergerBER,Ferrari,3,1:20.659
6,14,Rubens BarrichelloBAR,Jordan Hart,11,1:20.762
7,6,Jos VerstappenVER,Benetton Ford,25,1:21.536
8,7,Mika HakkinenHAK,McLaren Peugeot,37,1:21.829
9,8,Martin BrundleBRU,McLaren Peugeot,23,1:21.992
10,15,Eddie IrvineIRV,Jordan Hart,8,1:22.007
11,30,Heinz-Harald FrentzenFRE,Sauber Mercedes,4,1:22.080
12,29,Andrea de CesarisDEC,Sauber Mercedes,13,1:22.121
13,3,Ukyo KatayamaKAT,Tyrrell Yamaha,10,1:22.493
14,26,Olivier PanisPAN,Ligier Renault,14,1:22.625
15,23,Pierluigi MartiniMAR,Minardi Ford,57,1:22.740
16,12,Johnny HerbertHER,Lotus Mugen Honda,9,1:22.763
17,9,Christian FittipaldiFIT,Footwork Ford,9,1:22.852
18,20,Erik ComasCOM,Larrousse Ford,14,1:23.037
19,25,Eric BernardBER,Ligier Renault,9,1:23.195
20,10,Gianni MorbidelliMOR,Footwork Ford,4,1:23.299
21,4,Mark BlundellBLU,Tyrrell Yamaha,34,1:23.368
22,11,Alessandro ZanardiZAN,Lotus Mugen Honda,13,1:23.558
23,24,Michele AlboretoALB,Minardi Ford,5,1:23.676
24,19,Olivier BerettaBER,Larrousse Ford,4,1:23.739
25,31,David BrabhamBRA,Simtek Ford,5,1:23.920
26,32,Jean-Marc GounonGOU,Simtek Ford,6,1:24.351
