Pos,No,Driver,Car,Lap,Time
1,5,Michael SchumacherMSC,Benetton Ford,5,1:20.881
2,0,Damon HillHIL,Williams Renault,6,1:21.520
3,2,David CoulthardCOU,Williams Renault,12,1:22.471
4,28,Gerhard BergerBER,Ferrari,5,1:22.490
5,8,Martin BrundleBRU,McLaren Peugeot,45,1:22.739
6,6,Jos VerstappenVER,Benetton Ford,45,1:23.021
7,27,Jean AlesiALE,Ferrari,44,1:23.023
8,26,Olivier PanisPAN,Ligier Renault,5,1:23.466
9,30,Heinz-Harald FrentzenFRE,Sauber Mercedes,7,1:23.509
10,24,Michele AlboretoALB,Minardi Ford,44,1:23.697
11,9,Christian FittipaldiFIT,Footwork Ford,63,1:23.909
12,4,Mark BlundellBLU,Tyrrell Yamaha,25,1:23.964
13,20,Erik ComasCOM,Larrousse Ford,43,1:24.012
14,19,Olivier BerettaBER,Larrousse Ford,21,1:24.130
15,23,Pierluigi MartiniMAR,Minardi Ford,28,1:24.146
16,25,Eric BernardBER,Ligier Renault,57,1:24.442
17,7,Philippe AlliotALL,McLaren Peugeot,15,1:24.609
18,29,Andrea de CesarisDEC,Sauber Mercedes,15,1:24.686
19,10,Gianni MorbidelliMOR,Footwork Ford,17,1:24.704
20,31,David BrabhamBRA,Simtek Ford,12,1:25.137
21,11,Alessandro ZanardiZAN,Lotus Mugen Honda,60,1:25.151
22,12,Johnny HerbertHER,Lotus Mugen Honda,9,1:25.850
23,32,Jean-Marc GounonGOU,Simtek Ford,5,1:26.616
