Pos,No,Driver,Car,Lap,Time
1,5,Michael SchumacherMSC,Benetton Ford,29,1:17.140
2,0,Damon HillHIL,Williams Renault,20,1:17.294
3,28,Gerhard BergerBER,Ferrari,48,1:18.094
4,2,Nigel MansellMAN,Williams Renault,52,1:18.167
5,27,Jean AlesiALE,Ferrari,34,1:18.193
6,7,Mika HakkinenHAK,McLaren Peugeot,66,1:18.632
7,14,Rubens BarrichelloBAR,Jordan Hart,60,1:18.674
8,8,Martin BrundleBRU,McLaren Peugeot,76,1:18.819
9,26,Olivier PanisPAN,Ligier Renault,60,1:18.864
10,4,Mark BlundellBLU,Tyrrell Yamaha,56,1:18.909
11,15,Eddie IrvineIRV,Jordan Hart,10,1:18.932
12,30,Heinz-Harald FrentzenFRE,Sauber Mercedes,66,1:19.346
13,9,Christian FittipaldiFIT,Footwork Ford,47,1:19.458
14,3,Ukyo KatayamaKAT,Tyrrell Yamaha,10,1:19.592
15,6,Johnny HerbertHER,Benetton Ford,11,1:19.658
16,12,Alessandro ZanardiZAN,Lotus Mugen Honda,11,1:19.784
17,29,Jyrki JarvilehtoJAR,Sauber Mercedes,53,1:20.159
18,11,Mika SaloSAL,Lotus Mugen Honda,41,1:20.164
19,23,Pierluigi MartiniMAR,Minardi Ford,54,1:20.255
20,24,Michele AlboretoALB,Minardi Ford,38,1:20.338
21,25,Franck LagorceLAG,Larrousse Ford,40,1:20.436
22,31,David BrabhamBRA,Simtek Ford,14,1:20.637
23,10,Gianni MorbidelliMOR,Footwork Ford,12,1:20.771
24,19,Hideki NodaNOD,Jordan Hart,11,1:21.961
25,32,Domenico SchiattarellaSCH,Simtek Ford,16,1:22.674
26,20,Jean-Denis DeletrazDEL,Larrousse Ford,3,1:23.929
