Pos,No,Driver,Car,Lap,Time
1,0,Damon HillHIL,Williams Renault,10,1:24.335
2,5,Michael SchumacherMSC,Benetton Ford,43,1:24.438
3,28,Gerhard BergerBER,Ferrari,11,1:25.040
4,30,Heinz-Harald FrentzenFRE,Sauber Mercedes,12,1:25.307
5,10,Gianni MorbidelliMOR,Footwork Ford,12,1:25.652
6,29,Karl WendlingerWEN,Sauber Mercedes,54,1:25.727
7,7,Mika HakkinenHAK,McLaren Peugeot,18,1:25.737
8,8,Martin BrundleBRU,McLaren Peugeot,54,1:25.774
9,27,Nicola LariniLAR,Ferrari,18,1:25.825
10,9,Christian FittipaldiFIT,Footwork Ford,11,1:25.954
11,3,Ukyo KatayamaKAT,Tyrrell Yamaha,11,1:26.176
12,4,Mark BlundellBLU,Tyrrell Yamaha,25,1:26.259
13,23,Pierluigi MartiniMAR,Minardi Ford,21,1:27.221
14,15,Andrea de CesarisDEC,Jordan Hart,38,1:27.627
15,26,Olivier PanisPAN,Ligier Renault,16,1:27.908
16,24,Michele AlboretoALB,Minardi Ford,21,1:27.995
17,12,Johnny HerbertHER,Lotus Mugen Honda,10,1:28.032
18,25,Eric BernardBER,Ligier Renault,23,1:28.091
19,31,David BrabhamBRA,Simtek Ford,10,1:28.613
20,19,Olivier BerettaBER,Larrousse Ford,10,1:28.891
21,34,Bertrand GachotGAC,Pacific Ilmor,12,1:29.094
22,2,Ayrton SennaSEN,Williams Renault,1,1:44.068
23,20,Erik ComasCOM,Larrousse Ford,1,1:58.505
