Pos,No,Driver,Car,Lap,Time
1,5,Michael SchumacherMSC,Benetton Ford,7,1:18.455
2,2,Ayrton SennaSEN,Williams Renault,11,1:18.764
3,0,Damon HillHIL,Williams Renault,21,1:20.386
4,27,Jean AlesiALE,Ferrari,12,1:20.452
5,8,Martin BrundleBRU,McLaren Peugeot,17,1:20.717
6,14,Rubens BarrichelloBAR,Jordan Hart,56,1:20.809
7,3,Ukyo KatayamaKAT,Tyrrell Yamaha,34,1:20.842
8,6,Jos VerstappenVER,Benetton Ford,8,1:20.896
9,30,Heinz-Harald FrentzenFRE,Sauber Mercedes,12,1:20.907
10,29,Karl WendlingerWEN,Sauber Mercedes,8,1:20.987
11,7,Mika HakkinenHAK,McLaren Peugeot,6,1:20.989
12,4,Mark BlundellBLU,Tyrrell Yamaha,19,1:21.039
13,10,Gianni MorbidelliMOR,Footwork Ford,3,1:21.570
14,9,Christian FittipaldiFIT,Footwork Ford,8,1:21.582
15,15,Eddie IrvineIRV,Jordan Hart,8,1:21.696
16,20,Erik ComasCOM,Larrousse Ford,30,1:21.756
17,23,Pierluigi MartiniMAR,Minardi Ford,13,1:21.872
18,12,Johnny HerbertHER,Lotus Mugen Honda,40,1:22.007
19,28,Gerhard BergerBER,Ferrari,4,1:22.021
20,24,Michele AlboretoALB,Minardi Ford,5,1:22.488
21,26,Olivier PanisPAN,Ligier Renault,38,1:22.744
22,11,Pedro LamyLAM,Lotus Mugen Honda,11,1:23.234
23,25,Eric BernardBER,Ligier Renault,13,1:23.459
24,31,David BrabhamBRA,Simtek Ford,29,1:23.911
25,19,Olivier BerettaBER,Larrousse Ford,1,1:38.618
26,34,Bertrand GachotGAC,Pacific Ilmor,1,1:39.561
