Pos,No,Driver,Car,Time,Laps
1,1,Mika HakkinenHAK,McLaren Mercedes,1:50.329,8
2,2,David CoulthardCOU,McLaren Mercedes,1:50.484,9
3,8,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,1:51.332,10
4,7,Damon HillHIL,Jordan Mugen Honda,1:51.372,10
5,6,Ralf SchumacherRSC,Williams Supertec,1:51.414,9
6,4,Eddie IrvineIRV,Ferrari,1:51.895,12
7,16,Rubens BarrichelloBAR,Stewart Ford,1:51.974,11
8,5,Alessandro ZanardiZAN,Williams Supertec,1:52.014,12
9,3,Mika SaloSAL,Ferrari,1:52.124,10
10,17,Johnny HerbertHER,Stewart Ford,1:52.164,12
11,22,Jacques VilleneuveVIL,BAR Supertec,1:52.235,8
12,19,Jarno TrulliTRU,Prost Peugeot,1:52.644,11
13,9,Giancarlo FisichellaFIS,Benetton Playlife,1:52.762,12
14,23,Ricardo ZontaZON,BAR Supertec,1:52.840,8
15,10,Alexander WurzWUR,Benetton Playlife,1:52.847,11
16,11,Jean AlesiALE,Sauber Petronas,1:52.921,12
17,18,Olivier PanisPAN,Prost Peugeot,1:53.148,12
18,12,Pedro DinizDIN,Sauber Petronas,1:53.778,10
19,15,Toranosuke TakagiTAK,Arrows,1:54.099,11
20,20,Luca BadoerBAD,Minardi Ford,1:54.197,11
21,21,Marc GeneGEN,Minardi Ford,1:54.557,12
22,14,Pedro de la RosaDLR,Arrows,1:54.579,12
