Pos,No,Driver,Car,Time,Laps
1,16,Rubens BarrichelloBAR,Stewart Ford,1:38.441,5
2,11,Jean AlesiALE,Sauber Petronas,1:38.881,6
3,18,Olivier PanisPAN,Prost Peugeot,1:40.400,5
4,2,David CoulthardCOU,McLaren Mercedes,1:40.403,11
5,8,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,1:40.690,10
6,3,Michael SchumacherMSC,Ferrari,1:41.127,10
7,9,Giancarlo FisichellaFIS,Benetton Playlife,1:41.825,9
8,19,Jarno TrulliTRU,Prost Peugeot,1:42.096,8
9,17,Johnny HerbertHER,Stewart Ford,1:42.199,7
10,23,Ricardo ZontaZON,BAR Supertec,1:42.228,9
11,12,Pedro DinizDIN,Sauber Petronas,1:42.942,8
12,22,Jacques VilleneuveVIL,BAR Supertec,1:43.748,10
13,10,Alexander WurzWUR,Benetton Playlife,1:44.319,10
14,1,Mika HakkinenHAK,McLaren Mercedes,1:44.368,8
15,5,Alessandro ZanardiZAN,Williams Supertec,1:44.912,11
16,6,Ralf SchumacherRSC,Williams Supertec,1:45.189,9
17,4,Eddie IrvineIRV,Ferrari,1:45.218,7
NC,7,Damon HillHIL,Jordan Mugen Honda,1:45.334,10
NC,21,Marc GeneGEN,Minardi Ford,1:46.324,10
NC,20,Luca BadoerBAD,Minardi Ford,1:46.784,8
NC,14,Pedro de la RosaDLR,Arrows,1:48.215,9
NC,15,Toranosuke TakagiTAK,Arrows,1:48.322,10
