Pos,No,Driver,Car,Time,Laps
1,1,Mika HakkinenHAK,McLaren Mercedes,1:30.462,12
2,2,David CoulthardCOU,McLaren Mercedes,1:30.946,11
3,3,Michael SchumacherMSC,Ferrari,1:31.781,11
4,16,Rubens BarrichelloBAR,Stewart Ford,1:32.148,12
5,8,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,1:32.276,11
6,4,Eddie IrvineIRV,Ferrari,1:32.289,12
7,9,Giancarlo FisichellaFIS,Benetton Playlife,1:32.540,12
8,6,Ralf SchumacherRSC,Williams Supertec,1:32.691,10
9,7,Damon HillHIL,Jordan Mugen Honda,1:32.695,12
10,10,Alexander WurzWUR,Benetton Playlife,1:32.789,12
11,22,Jacques VilleneuveVIL,BAR Supertec,1:32.888,10
12,19,Jarno TrulliTRU,Prost Peugeot,1:32.971,11
13,17,Johnny HerbertHER,Stewart Ford,1:32.991,12
14,12,Pedro DinizDIN,Sauber Petronas,1:33.374,9
15,5,Alessandro ZanardiZAN,Williams Supertec,1:33.549,12
16,11,Jean AlesiALE,Sauber Petronas,1:33.910,10
17,15,Toranosuke TakagiTAK,Arrows,1:34.182,12
18,14,Pedro de la RosaDLR,Arrows,1:34.244,12
19,23,Ricardo ZontaZON,BAR Supertec,1:34.412,11
20,18,Olivier PanisPAN,Prost Peugeot,1:35.068,10
21,20,Luca BadoerBAD,Minardi Ford,1:35.316,11
NC,21,Marc GeneGEN,Minardi Ford,1:37.013,11
