Pos,No,Driver,Car,Time,Laps
1,1,Mika HakkinenHAK,McLaren Mercedes,1:16.568,12
2,2,David CoulthardCOU,McLaren Mercedes,1:16.715,12
3,16,Rubens BarrichelloBAR,Stewart Ford,1:17.305,11
4,3,Michael SchumacherMSC,Ferrari,1:17.578,11
5,9,Giancarlo FisichellaFIS,Benetton Playlife,1:17.810,12
6,4,Eddie IrvineIRV,Ferrari,1:17.843,11
7,7,Damon HillHIL,Jordan Mugen Honda,1:17.884,11
8,8,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,1:17.902,11
9,10,Alexander WurzWUR,Benetton Playlife,1:18.334,12
10,17,Johnny HerbertHER,Stewart Ford,1:18.374,12
11,6,Ralf SchumacherRSC,Williams Supertec,1:18.506,12
12,18,Olivier PanisPAN,Prost Peugeot,1:18.636,12
13,19,Jarno TrulliTRU,Prost Peugeot,1:18.684,12
14,11,Jean AlesiALE,Sauber Petronas,1:18.716,12
15,12,Pedro DinizDIN,Sauber Petronas,1:19.194,11
16,22,Jacques VilleneuveVIL,BAR Supertec,1:19.377,12
17,5,Alessandro ZanardiZAN,Williams Supertec,1:19.452,10
18,20,Stephane SarrazinSAR,Minardi Ford,1:20.016,12
19,14,Pedro de la RosaDLR,Arrows,1:20.075,11
20,15,Toranosuke TakagiTAK,Arrows,1:20.096,12
21,21,Marc GeneGEN,Minardi Ford,1:20.710,11
