Pos,No,Driver,Car,Time,Laps
1,1,Mika HakkinenHAK,McLaren Mercedes,1:42.950,11
2,8,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,1:43.000,11
3,2,David CoulthardCOU,McLaren Mercedes,1:43.288,12
4,3,Mika SaloSAL,Ferrari,1:43.577,11
5,4,Eddie IrvineIRV,Ferrari,1:43.769,11
6,16,Rubens BarrichelloBAR,Stewart Ford,1:43.938,12
7,18,Olivier PanisPAN,Prost Peugeot,1:43.979,12
8,7,Damon HillHIL,Jordan Mugen Honda,1:44.001,12
9,19,Jarno TrulliTRU,Prost Peugeot,1:44.209,10
10,9,Giancarlo FisichellaFIS,Benetton Playlife,1:44.338,11
11,6,Ralf SchumacherRSC,Williams Supertec,1:44.468,12
12,22,Jacques VilleneuveVIL,BAR Supertec,1:44.508,10
13,10,Alexander WurzWUR,Benetton Playlife,1:44.522,11
14,5,Alessandro ZanardiZAN,Williams Supertec,1:45.034,12
15,21,Marc GeneGEN,Minardi Ford,1:45.331,12
16,12,Pedro DinizDIN,Sauber Petronas,1:45.335,12
17,17,Johnny HerbertHER,Stewart Ford,1:45.454,11
18,23,Ricardo ZontaZON,BAR Supertec,1:45.460,12
19,20,Luca BadoerBAD,Minardi Ford,1:45.917,12
20,14,Pedro de la RosaDLR,Arrows,1:45.935,12
21,11,Jean AlesiALE,Sauber Petronas,1:45.962,12
22,15,Toranosuke TakagiTAK,Arrows,1:46.209,12
