Pos,No,Driver,Car,Time,Laps
1,8,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,1:19.910,9
2,2,David CoulthardCOU,McLaren Mercedes,1:20.176,12
3,1,Mika HakkinenHAK,McLaren Mercedes,1:20.376,12
4,6,Ralf SchumacherRSC,Williams Supertec,1:20.444,12
5,18,Olivier PanisPAN,Prost Peugeot,1:20.638,12
6,9,Giancarlo FisichellaFIS,Benetton Playlife,1:20.781,11
7,7,Damon HillHIL,Jordan Mugen Honda,1:20.818,11
8,22,Jacques VilleneuveVIL,BAR Supertec,1:20.825,10
9,4,Eddie IrvineIRV,Ferrari,1:20.842,11
10,19,Jarno TrulliTRU,Prost Peugeot,1:20.965,12
11,10,Alexander WurzWUR,Benetton Playlife,1:21.144,12
12,3,Mika SaloSAL,Ferrari,1:21.314,12
13,12,Pedro DinizDIN,Sauber Petronas,1:21.345,11
14,17,Johnny HerbertHER,Stewart Ford,1:21.379,11
15,16,Rubens BarrichelloBAR,Stewart Ford,1:21.490,12
16,11,Jean AlesiALE,Sauber Petronas,1:21.634,11
17,23,Ricardo ZontaZON,BAR Supertec,1:22.267,10
18,5,Alessandro ZanardiZAN,Williams Supertec,1:22.284,12
19,20,Luca BadoerBAD,Minardi Ford,1:22.631,11
20,21,Marc GeneGEN,Minardi Ford,1:22.760,12
21,15,Toranosuke TakagiTAK,Arrows,1:23.401,11
22,14,Pedro de la RosaDLR,Arrows,1:23.698,10
