Pos,No,Driver,Car,Time,Laps
1,1,Mika HakkinenHAK,McLaren Mercedes,1:10.954,10
2,2,David CoulthardCOU,McLaren Mercedes,1:11.153,12
3,4,Eddie IrvineIRV,Ferrari,1:11.973,12
4,8,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,1:12.266,12
5,16,Rubens BarrichelloBAR,Stewart Ford,1:12.342,12
6,17,Johnny HerbertHER,Stewart Ford,1:12.488,12
7,3,Mika SaloSAL,Ferrari,1:12.514,12
8,6,Ralf SchumacherRSC,Williams Supertec,1:12.515,10
9,22,Jacques VilleneuveVIL,BAR Supertec,1:12.833,11
10,10,Alexander WurzWUR,Benetton Playlife,1:12.850,12
11,7,Damon HillHIL,Jordan Mugen Honda,1:12.901,11
12,9,Giancarlo FisichellaFIS,Benetton Playlife,1:12.924,11
13,19,Jarno TrulliTRU,Prost Peugeot,1:12.999,11
14,5,Alessandro ZanardiZAN,Williams Supertec,1:13.101,12
15,23,Ricardo ZontaZON,BAR Supertec,1:13.172,12
16,12,Pedro DinizDIN,Sauber Petronas,1:13.223,12
17,11,Jean AlesiALE,Sauber Petronas,1:13.226,11
18,18,Olivier PanisPAN,Prost Peugeot,1:13.457,12
19,20,Luca BadoerBAD,Minardi Ford,1:13.606,12
20,15,Toranosuke TakagiTAK,Arrows,1:13.641,12
21,14,Pedro de la RosaDLR,Arrows,1:14.139,11
22,21,Marc GeneGEN,Minardi Ford,1:14.363,10
