Pos,No,Driver,Car,Time,Laps
1,1,Mika HakkinenHAK,McLaren Mercedes,1:20.547,12
2,3,Michael SchumacherMSC,Ferrari,1:20.611,11
3,2,David CoulthardCOU,McLaren Mercedes,1:20.956,12
4,4,Eddie IrvineIRV,Ferrari,1:21.011,12
5,16,Rubens BarrichelloBAR,Stewart Ford,1:21.530,12
6,8,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,1:21.556,12
7,19,Jarno TrulliTRU,Prost Peugeot,1:21.769,11
8,22,Jacques VilleneuveVIL,BAR Supertec,1:21.827,12
9,9,Giancarlo FisichellaFIS,Benetton Playlife,1:21.938,11
10,10,Alexander WurzWUR,Benetton Playlife,1:21.968,12
11,5,Alessandro ZanardiZAN,Williams Supertec,1:22.152,12
12,23,Mika SaloSAL,BAR Supertec,1:22.241,12
13,17,Johnny HerbertHER,Stewart Ford,1:22.248,12
14,11,Jean AlesiALE,Sauber Petronas,1:22.354,12
15,12,Pedro DinizDIN,Sauber Petronas,1:22.659,12
16,6,Ralf SchumacherRSC,Williams Supertec,1:22.719,11
17,7,Damon HillHIL,Jordan Mugen Honda,1:22.832,12
18,18,Olivier PanisPAN,Prost Peugeot,1:22.916,12
19,15,Toranosuke TakagiTAK,Arrows,1:23.290,11
20,20,Luca BadoerBAD,Minardi Ford,1:23.765,12
21,14,Pedro de la RosaDLR,Arrows,1:24.260,12
22,21,Marc GeneGEN,Minardi Ford,1:24.914,11
