Pos,No,Driver,Car,Time,Laps
1,3,Michael SchumacherMSC,Ferrari,1:19.298,7
2,1,Mika HakkinenHAK,McLaren Mercedes,1:19.327,12
3,4,Eddie IrvineIRV,Ferrari,1:19.440,11
4,2,David CoulthardCOU,McLaren Mercedes,1:19.729,11
5,16,Rubens BarrichelloBAR,Stewart Ford,1:19.930,11
6,8,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,1:20.158,12
7,9,Giancarlo FisichellaFIS,Benetton Playlife,1:20.378,7
8,11,Jean AlesiALE,Sauber Petronas,1:20.459,10
9,19,Jarno TrulliTRU,Prost Peugeot,1:20.557,11
10,17,Johnny HerbertHER,Stewart Ford,1:20.829,12
11,10,Alexander WurzWUR,Benetton Playlife,1:21.000,11
12,5,Alessandro ZanardiZAN,Williams Supertec,1:21.076,12
13,6,Ralf SchumacherRSC,Williams Supertec,1:21.081,10
14,7,Damon HillHIL,Jordan Mugen Honda,1:21.094,12
15,18,Olivier PanisPAN,Prost Peugeot,1:21.252,11
16,22,Jacques VilleneuveVIL,BAR Supertec,1:21.302,11
17,23,Ricardo ZontaZON,BAR Supertec,1:21.467,12
18,12,Pedro DinizDIN,Sauber Petronas,1:21.571,12
19,15,Toranosuke TakagiTAK,Arrows,1:21.693,11
20,14,Pedro de la RosaDLR,Arrows,1:22.613,12
21,20,Luca BadoerBAD,Minardi Ford,1:22.808,12
22,21,Marc GeneGEN,Minardi Ford,1:23.387,12
