Pos,No,Driver,Car,Time,Laps
1,1,Mika HakkinenHAK,McLaren Mercedes,1:18.156,11
2,4,Eddie IrvineIRV,Ferrari,1:18.263,11
3,2,David CoulthardCOU,McLaren Mercedes,1:18.384,12
4,9,Giancarlo FisichellaFIS,Benetton Playlife,1:18.515,11
5,8,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,1:18.664,12
6,7,Damon HillHIL,Jordan Mugen Honda,1:18.667,11
7,10,Alexander WurzWUR,Benetton Playlife,1:18.733,11
8,16,Rubens BarrichelloBAR,Stewart Ford,1:19.095,11
9,22,Jacques VilleneuveVIL,BAR Supertec,1:19.127,11
10,17,Johnny HerbertHER,Stewart Ford,1:19.389,11
11,11,Jean AlesiALE,Sauber Petronas,1:19.390,12
12,12,Pedro DinizDIN,Sauber Petronas,1:19.782,11
13,19,Jarno TrulliTRU,Prost Peugeot,1:19.788,12
14,18,Olivier PanisPAN,Prost Peugeot,1:19.841,12
15,5,Alessandro ZanardiZAN,Williams Supertec,1:19.924,11
16,6,Ralf SchumacherRSC,Williams Supertec,1:19.945,12
17,23,Ricardo ZontaZON,BAR Supertec,1:20.060,12
18,3,Mika SaloSAL,Ferrari,1:20.369,12
19,20,Luca BadoerBAD,Minardi Ford,1:20.961,12
20,14,Pedro de la RosaDLR,Arrows,1:21.328,12
21,15,Toranosuke TakagiTAK,Arrows,1:21.675,11
22,21,Marc GeneGEN,Minardi Ford,1:21.867,12
