Pos,No,Driver,Car,Time,Laps
1,1,Mika HakkinenHAK,McLaren Mercedes,1:22.088,11
2,4,Eddie IrvineIRV,Ferrari,1:22.219,12
3,2,David CoulthardCOU,McLaren Mercedes,1:22.244,11
4,3,Michael SchumacherMSC,Ferrari,1:22.277,11
5,11,Jean AlesiALE,Sauber Petronas,1:22.388,9
6,22,Jacques VilleneuveVIL,BAR Supertec,1:22.703,11
7,16,Rubens BarrichelloBAR,Stewart Ford,1:22.920,11
8,8,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,1:22.938,11
9,19,Jarno TrulliTRU,Prost Peugeot,1:23.194,12
10,6,Ralf SchumacherRSC,Williams Supertec,1:23.303,12
11,7,Damon HillHIL,Jordan Mugen Honda,1:23.317,12
12,12,Pedro DinizDIN,Sauber Petronas,1:23.331,12
13,9,Giancarlo FisichellaFIS,Benetton Playlife,1:23.333,12
14,17,Johnny HerbertHER,Stewart Ford,1:23.505,11
15,18,Olivier PanisPAN,Prost Peugeot,1:23.559,12
16,23,Mika SaloSAL,BAR Supertec,1:23.683,12
17,5,Alessandro ZanardiZAN,Williams Supertec,1:23.703,12
18,10,Alexander WurzWUR,Benetton Playlife,1:23.824,11
19,14,Pedro de la RosaDLR,Arrows,1:24.619,12
20,15,Toranosuke TakagiTAK,Arrows,1:25.280,11
21,21,Marc GeneGEN,Minardi Ford,1:25.672,11
22,20,Luca BadoerBAD,Minardi Ford,1:25.833,12
