Pos,No,Driver,Car,Time,Laps
1,3,Michael SchumacherMSC,Ferrari,1:37.470,11
2,1,Mika HakkinenHAK,McLaren Mercedes,1:37.820,9
3,2,David CoulthardCOU,McLaren Mercedes,1:38.239,12
4,8,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,1:38.696,12
5,4,Eddie IrvineIRV,Ferrari,1:38.975,11
6,18,Olivier PanisPAN,Prost Peugeot,1:39.623,11
7,19,Jarno TrulliTRU,Prost Peugeot,1:39.644,12
8,17,Johnny HerbertHER,Stewart Ford,1:39.706,12
9,6,Ralf SchumacherRSC,Williams Supertec,1:39.717,11
10,11,Jean AlesiALE,Sauber Petronas,1:39.721,10
11,22,Jacques VilleneuveVIL,BAR Supertec,1:39.732,12
12,7,Damon HillHIL,Jordan Mugen Honda,1:40.140,12
13,16,Rubens BarrichelloBAR,Stewart Ford,1:40.140,11
14,9,Giancarlo FisichellaFIS,Benetton Playlife,1:40.261,10
15,10,Alexander WurzWUR,Benetton Playlife,1:40.303,12
16,5,Alessandro ZanardiZAN,Williams Supertec,1:40.403,12
17,12,Pedro DinizDIN,Sauber Petronas,1:40.740,11
18,23,Ricardo ZontaZON,BAR Supertec,1:40.861,11
19,15,Toranosuke TakagiTAK,Arrows,1:41.067,11
20,21,Marc GeneGEN,Minardi Ford,1:41.529,12
21,14,Pedro de la RosaDLR,Arrows,1:41.708,11
22,20,Luca BadoerBAD,Minardi Ford,1:42.515,8
