Pos,No,Driver,Car,Lap,Time,Avg speed
1,2,David CoulthardCOU,McLaren Mercedes,69,1:20.699,177.236
2,1,Mika HakkinenHAK,McLaren Mercedes,44,1:20.710,177.212
3,11,Jean AlesiALE,Sauber Petronas,45,1:20.830,176.949
4,8,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,71,1:20.991,176.597
5,4,Eddie IrvineIRV,Ferrari,62,1:21.010,176.555
6,7,Damon HillHIL,Jordan Mugen Honda,31,1:21.180,176.186
7,23,Ricardo ZontaZON,BAR Supertec,32,1:21.343,175.833
8,9,Giancarlo FisichellaFIS,Benetton Playlife,51,1:21.469,175.561
9,10,Alexander WurzWUR,Benetton Playlife,71,1:21.539,175.410
10,16,Rubens BarrichelloBAR,Stewart Ford,38,1:21.707,175.049
11,6,Ralf SchumacherRSC,Williams Supertec,48,1:21.745,174.968
12,19,Jarno TrulliTRU,Prost Peugeot,45,1:21.936,174.560
13,22,Jacques VilleneuveVIL,BAR Supertec,49,1:21.975,174.477
14,12,Pedro DinizDIN,Sauber Petronas,19,1:22.452,173.468
15,17,Johnny HerbertHER,Stewart Ford,70,1:22.455,173.461
16,18,Olivier PanisPAN,Prost Peugeot,59,1:22.587,173.184
17,3,Mika SaloSAL,Ferrari,49,1:22.681,172.987
18,20,Luca BadoerBAD,Minardi Ford,45,1:23.456,171.381
19,14,Pedro de la RosaDLR,Arrows,47,1:23.520,171.250
20,5,Alessandro ZanardiZAN,Williams Supertec,7,1:24.297,169.671
21,21,Marc GeneGEN,Minardi Ford,28,1:24.807,168.651
22,15,Toranosuke TakagiTAK,Arrows,11,1:25.483,167.317
