Pos,No,Driver,Car,Lap,Time,Avg speed
1,3,Michael SchumacherMSC,Ferrari,29,1:24.982,200.287
2,1,Mika HakkinenHAK,McLaren Mercedes,7,1:25.209,199.753
3,4,Eddie IrvineIRV,Ferrari,40,1:25.343,199.439
4,2,David CoulthardCOU,McLaren Mercedes,8,1:25.487,199.103
5,16,Rubens BarrichelloBAR,Stewart Ford,40,1:26.006,197.902
6,12,Pedro DinizDIN,Sauber Petronas,20,1:26.315,197.193
7,7,Damon HillHIL,Jordan Mugen Honda,47,1:26.348,197.118
8,19,Jarno TrulliTRU,Prost Peugeot,25,1:26.505,196.760
9,6,Ralf SchumacherRSC,Williams Supertec,35,1:26.520,196.726
10,11,Jean AlesiALE,Sauber Petronas,24,1:26.542,196.676
11,22,Jacques VilleneuveVIL,BAR Supertec,9,1:26.675,196.374
12,8,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,35,1:26.894,195.880
13,23,Mika SaloSAL,BAR Supertec,58,1:27.004,195.632
14,10,Alexander WurzWUR,Benetton Playlife,35,1:27.029,195.576
15,9,Giancarlo FisichellaFIS,Benetton Playlife,59,1:27.098,195.421
16,18,Olivier PanisPAN,Prost Peugeot,20,1:27.175,195.248
17,5,Alessandro ZanardiZAN,Williams Supertec,19,1:27.248,195.085
18,14,Pedro de la RosaDLR,Arrows,33,1:27.409,194.725
19,17,Johnny HerbertHER,Stewart Ford,17,1:27.442,194.652
20,15,Toranosuke TakagiTAK,Arrows,7,1:29.184,190.850
21,20,Luca BadoerBAD,Minardi Ford,39,1:29.632,189.896
