Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Mika HakkinenHAK,McLaren Mercedes,64,1:21.282,201.786
2,2,David CoulthardCOU,McLaren Mercedes,29,1:21.835,200.422
3,8,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,29,1:22.082,199.819
4,6,Ralf SchumacherRSC,Williams Supertec,64,1:22.237,199.443
5,9,Giancarlo FisichellaFIS,Benetton Playlife,31,1:22.244,199.426
6,4,Eddie IrvineIRV,Ferrari,65,1:22.332,199.212
7,22,Jacques VilleneuveVIL,BAR Supertec,32,1:22.564,198.653
8,16,Rubens BarrichelloBAR,Stewart Ford,32,1:22.960,197.704
9,17,Johnny HerbertHER,Stewart Ford,32,1:23.010,197.585
10,23,Ricardo ZontaZON,BAR Supertec,64,1:23.067,197.450
11,11,Jean AlesiALE,Sauber Petronas,15,1:23.097,197.378
12,3,Mika SaloSAL,Ferrari,31,1:23.404,196.652
13,21,Marc GeneGEN,Minardi Ford,30,1:23.657,196.057
14,19,Jarno TrulliTRU,Prost Peugeot,30,1:23.742,195.858
15,20,Luca BadoerBAD,Minardi Ford,33,1:23.745,195.851
16,18,Olivier PanisPAN,Prost Peugeot,16,1:23.905,195.478
17,5,Alessandro ZanardiZAN,Williams Supertec,9,1:24.300,194.562
18,15,Toranosuke TakagiTAK,Arrows,30,1:24.848,193.305
19,14,Pedro de la RosaDLR,Arrows,8,1:24.857,193.285
