Pos,No,Driver,Car,Lap,Time,Avg speed
1,3,Michael SchumacherMSC,Ferrari,55,1:32.112,207.256
2,16,Rubens BarrichelloBAR,Stewart Ford,29,1:32.894,205.511
3,1,Mika HakkinenHAK,McLaren Mercedes,9,1:33.309,204.597
4,8,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,33,1:33.378,204.446
5,6,Ralf SchumacherRSC,Williams Supertec,32,1:33.407,204.382
6,4,Eddie IrvineIRV,Ferrari,29,1:33.560,204.048
7,2,David CoulthardCOU,McLaren Mercedes,9,1:33.603,203.955
8,9,Giancarlo FisichellaFIS,Benetton Playlife,34,1:33.657,203.837
9,12,Pedro DinizDIN,Sauber Petronas,13,1:34.748,201.490
10,23,Ricardo ZontaZON,BAR Supertec,13,1:34.756,201.473
11,22,Jacques VilleneuveVIL,BAR Supertec,12,1:34.771,201.441
12,19,Jarno TrulliTRU,Prost Peugeot,21,1:34.980,200.998
13,14,Pedro de la RosaDLR,Arrows,39,1:35.220,200.491
14,15,Toranosuke TakagiTAK,Arrows,50,1:35.877,199.117
15,18,Olivier PanisPAN,Prost Peugeot,13,1:35.910,199.049
16,10,Alexander WurzWUR,Benetton Playlife,20,1:36.068,198.721
17,20,Luca BadoerBAD,Minardi Ford,29,1:37.073,196.664
18,5,Alessandro ZanardiZAN,Williams Supertec,20,1:37.146,196.516
19,21,Marc GeneGEN,Minardi Ford,20,1:37.454,195.895
