Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Mika HakkinenHAK,McLaren Mercedes,23,1:53.955,220.128
2,2,David CoulthardCOU,McLaren Mercedes,28,1:54.088,219.872
3,7,Damon HillHIL,Jordan Mugen Honda,25,1:54.954,218.215
4,3,Mika SaloSAL,Ferrari,43,1:55.299,217.563
5,8,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,24,1:55.412,217.350
6,4,Eddie IrvineIRV,Ferrari,27,1:55.582,217.030
7,5,Alessandro ZanardiZAN,Williams Supertec,33,1:55.786,216.647
8,6,Ralf SchumacherRSC,Williams Supertec,27,1:55.964,216.315
9,11,Jean AlesiALE,Sauber Petronas,31,1:56.016,216.218
10,16,Rubens BarrichelloBAR,Stewart Ford,34,1:56.131,216.004
11,19,Jarno TrulliTRU,Prost Peugeot,28,1:56.367,215.566
12,18,Olivier PanisPAN,Prost Peugeot,24,1:56.681,214.986
13,21,Marc GeneGEN,Minardi Ford,27,1:56.789,214.787
14,9,Giancarlo FisichellaFIS,Benetton Playlife,27,1:57.037,214.332
15,17,Johnny HerbertHER,Stewart Ford,18,1:57.094,214.227
16,10,Alexander WurzWUR,Benetton Playlife,27,1:57.526,213.440
17,22,Jacques VilleneuveVIL,BAR Supertec,23,1:57.619,213.271
18,20,Luca BadoerBAD,Minardi Ford,31,1:57.929,212.711
19,12,Pedro DinizDIN,Sauber Petronas,12,1:58.179,212.261
20,14,Pedro de la RosaDLR,Arrows,16,1:58.480,211.721
21,23,Ricardo ZontaZON,BAR Supertec,25,1:58.918,210.941
