Pos,No,Driver,Car,Lap,Time,Avg speed
1,2,David CoulthardCOU,McLaren Mercedes,43,1:45.270,233.331
2,18,Olivier PanisPAN,Prost Peugeot,20,1:46.823,229.939
3,1,Mika HakkinenHAK,McLaren Mercedes,6,1:47.433,228.633
4,8,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,17,1:47.619,228.238
5,4,Eddie IrvineIRV,Ferrari,17,1:47.687,228.094
6,9,Giancarlo FisichellaFIS,Benetton Playlife,5,1:47.785,227.886
7,16,Rubens BarrichelloBAR,Stewart Ford,5,1:47.788,227.880
8,3,Mika SaloSAL,Ferrari,4,1:47.945,227.549
9,6,Ralf SchumacherRSC,Williams Supertec,29,1:48.083,227.258
10,11,Jean AlesiALE,Sauber Petronas,4,1:48.334,226.732
11,17,Johnny HerbertHER,Stewart Ford,29,1:48.408,226.577
12,10,Alexander WurzWUR,Benetton Playlife,44,1:48.455,226.479
13,7,Damon HillHIL,Jordan Mugen Honda,9,1:48.925,225.501
14,23,Ricardo ZontaZON,BAR Supertec,14,1:49.179,224.977
15,19,Jarno TrulliTRU,Prost Peugeot,6,1:49.285,224.759
16,5,Alessandro ZanardiZAN,Williams Supertec,5,1:49.835,223.633
17,21,Marc GeneGEN,Minardi Ford,28,1:49.894,223.513
18,20,Luca BadoerBAD,Minardi Ford,28,1:49.942,223.415
19,15,Toranosuke TakagiTAK,Arrows,6,1:50.286,222.719
20,14,Pedro de la RosaDLR,Arrows,14,1:50.534,222.219
