Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Mika HakkinenHAK,McLaren Mercedes,39,1:12.107,215.629
2,17,Johnny HerbertHER,Stewart Ford,67,1:12.641,214.044
3,4,Eddie IrvineIRV,Ferrari,43,1:12.787,213.615
4,2,David CoulthardCOU,McLaren Mercedes,69,1:12.855,213.415
5,12,Pedro DinizDIN,Sauber Petronas,49,1:13.093,212.720
6,8,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,42,1:13.176,212.479
7,11,Jean AlesiALE,Sauber Petronas,47,1:13.228,212.328
8,16,Rubens BarrichelloBAR,Stewart Ford,36,1:13.278,212.183
9,18,Olivier PanisPAN,Prost Peugeot,67,1:13.465,211.643
10,3,Mika SaloSAL,Ferrari,67,1:13.481,211.597
11,9,Giancarlo FisichellaFIS,Benetton Playlife,41,1:13.579,211.315
12,10,Alexander WurzWUR,Benetton Playlife,42,1:13.654,211.100
13,7,Damon HillHIL,Jordan Mugen Honda,63,1:13.960,210.227
14,22,Jacques VilleneuveVIL,BAR Supertec,33,1:13.977,210.178
15,23,Ricardo ZontaZON,BAR Supertec,36,1:14.063,209.934
16,19,Jarno TrulliTRU,Prost Peugeot,37,1:14.112,209.795
17,5,Alessandro ZanardiZAN,Williams Supertec,31,1:14.381,209.037
18,21,Marc GeneGEN,Minardi Ford,34,1:14.517,208.655
19,20,Luca BadoerBAD,Minardi Ford,63,1:14.622,208.362
20,14,Pedro de la RosaDLR,Arrows,29,1:14.914,207.549
21,15,Toranosuke TakagiTAK,Arrows,25,1:15.361,206.318
22,6,Ralf SchumacherRSC,Williams Supertec,8,1:16.173,204.119
