Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Mika HakkinenHAK,McLaren Mercedes,28,1:28.309,209.536
2,4,Eddie IrvineIRV,Ferrari,54,1:28.782,208.420
3,2,David CoulthardCOU,McLaren Mercedes,47,1:28.846,208.270
4,7,Damon HillHIL,Jordan Mugen Honda,48,1:29.252,207.323
5,8,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,47,1:29.330,207.142
6,6,Ralf SchumacherRSC,Williams Supertec,26,1:29.414,206.947
7,16,Rubens BarrichelloBAR,Stewart Ford,49,1:29.493,206.764
8,12,Pedro DinizDIN,Sauber Petronas,27,1:29.819,206.014
9,17,Johnny HerbertHER,Stewart Ford,53,1:30.103,205.364
10,9,Giancarlo FisichellaFIS,Benetton Playlife,54,1:30.296,204.926
11,11,Jean AlesiALE,Sauber Petronas,37,1:30.334,204.839
12,5,Alessandro ZanardiZAN,Williams Supertec,41,1:30.522,204.414
13,23,Ricardo ZontaZON,BAR Supertec,27,1:30.611,204.213
14,10,Alexander WurzWUR,Benetton Playlife,40,1:30.625,204.182
15,18,Olivier PanisPAN,Prost Peugeot,41,1:30.793,203.804
16,19,Jarno TrulliTRU,Prost Peugeot,52,1:30.964,203.421
17,22,Jacques VilleneuveVIL,BAR Supertec,18,1:31.342,202.579
18,21,Marc GeneGEN,Minardi Ford,44,1:31.612,201.982
19,20,Luca BadoerBAD,Minardi Ford,3,1:32.409,200.240
20,15,Toranosuke TakagiTAK,Arrows,22,1:32.442,200.168
