Pos,No,Driver,Car,Lap,Time,Avg speed
1,3,Michael SchumacherMSC,Ferrari,31,1:41.319,208.355
2,1,Mika HakkinenHAK,McLaren Mercedes,31,1:41.577,207.826
3,2,David CoulthardCOU,McLaren Mercedes,33,1:42.106,206.749
4,6,Ralf SchumacherRSC,Williams Supertec,22,1:42.567,205.820
5,8,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,22,1:42.972,205.011
6,18,Olivier PanisPAN,Prost Peugeot,4,1:43.188,204.581
7,4,Eddie IrvineIRV,Ferrari,26,1:43.297,204.366
8,16,Rubens BarrichelloBAR,Stewart Ford,22,1:43.496,203.973
9,11,Jean AlesiALE,Sauber Petronas,3,1:43.669,203.632
10,17,Johnny HerbertHER,Stewart Ford,5,1:43.706,203.560
11,22,Jacques VilleneuveVIL,BAR Supertec,6,1:43.898,203.183
12,7,Damon HillHIL,Jordan Mugen Honda,14,1:43.939,203.103
13,10,Alexander WurzWUR,Benetton Playlife,11,1:43.963,203.056
14,12,Pedro DinizDIN,Sauber Petronas,22,1:44.112,202.766
15,19,Jarno TrulliTRU,Prost Peugeot,3,1:44.304,202.393
16,9,Giancarlo FisichellaFIS,Benetton Playlife,12,1:44.379,202.247
17,23,Ricardo ZontaZON,BAR Supertec,30,1:44.869,201.302
18,21,Marc GeneGEN,Minardi Ford,29,1:45.359,200.366
19,20,Luca BadoerBAD,Minardi Ford,30,1:45.377,200.332
20,14,Pedro de la RosaDLR,Arrows,25,1:45.556,199.992
21,15,Toranosuke TakagiTAK,Arrows,27,1:46.150,198.873
