Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Mika HakkinenHAK,McLaren Mercedes,67,1:22.259,147.354
2,3,Michael SchumacherMSC,Ferrari,32,1:22.288,147.302
3,8,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,64,1:22.471,146.975
4,4,Eddie IrvineIRV,Ferrari,62,1:22.572,146.795
5,12,Pedro DinizDIN,Sauber Petronas,48,1:22.637,146.680
6,6,Ralf SchumacherRSC,Williams Supertec,47,1:22.837,146.325
7,2,David CoulthardCOU,McLaren Mercedes,31,1:22.883,146.244
8,10,Alexander WurzWUR,Benetton Playlife,68,1:23.236,145.624
9,5,Alessandro ZanardiZAN,Williams Supertec,49,1:23.294,145.523
10,11,Jean AlesiALE,Sauber Petronas,47,1:23.417,145.308
11,9,Giancarlo FisichellaFIS,Benetton Playlife,67,1:23.473,145.211
12,22,Jacques VilleneuveVIL,BAR Supertec,31,1:23.537,145.099
13,16,Rubens BarrichelloBAR,Stewart Ford,55,1:23.583,145.019
14,19,Jarno TrulliTRU,Prost Peugeot,49,1:23.646,144.910
15,18,Olivier PanisPAN,Prost Peugeot,24,1:24.480,143.480
16,23,Mika SaloSAL,BAR Supertec,31,1:24.787,142.960
17,17,Johnny HerbertHER,Stewart Ford,26,1:24.919,142.738
18,15,Toranosuke TakagiTAK,Arrows,26,1:26.482,140.158
19,21,Marc GeneGEN,Minardi Ford,18,1:26.864,139.542
20,14,Pedro de la RosaDLR,Arrows,23,1:26.914,139.461
21,20,Luca BadoerBAD,Minardi Ford,8,1:28.691,136.667
22,7,Damon HillHIL,Jordan Mugen Honda,3,1:28.848,136.426
