Pos,No,Driver,Car,Lap,Time
1,2,Alain ProstPRO,McLaren Honda,43,1:43.506
2,28,Gerhard BergerBER,Ferrari,26,1:44.189
3,19,Alessandro NanniniNAN,Benetton Ford,28,1:44.919
4,20,Emanuele PirroPIR,Benetton Ford,25,1:45.049
5,27,Nigel MansellMAN,Ferrari,32,1:45.077
6,5,Thierry BoutsenBOU,Williams Renault,37,1:45.115
7,6,Riccardo PatresePAT,Williams Renault,26,1:45.335
8,30,Philippe AlliotALL,Lola Lamborghini,25,1:45.353
9,7,Martin BrundleBRU,Brabham Judd,46,1:46.194
10,22,Andrea de CesarisDEC,Dallara Ford,35,1:46.225
11,11,Nelson PiquetPIQ,Lotus Judd,33,1:46.420
12,4,Jean AlesiALE,Tyrrell Ford,34,1:46.674
13,9,Derek WarwickWAR,Arrows Ford,32,1:47.069
14,12,Satoru NakajimaNAK,Lotus Judd,30,1:47.338
15,16,Ivan CapelliCAP,March Judd,25,1:47.465
16,10,Eddie  CheeverCHE,Arrows Ford,27,1:47.920
17,15,Mauricio GugelminGUG,March Judd,43,1:47.976
18,26,Olivier GrouillardGRO,Ligier Ford,22,1:48.145
19,8,Stefano ModenaMOD,Brabham Judd,31,1:48.609
20,21,Alex CaffiCAF,Dallara Ford,29,1:49.322
21,17,Nicola LariniLAR,Osella Ford,19,1:49.479
22,3,Jonathan  PalmerPAL,Tyrrell Ford,4,1:49.910
23,34,Bernd SchneiderSCH,Zakspeed Yamaha,1,2:11.970
