Pos,No,Driver,Car,Lap,Time
1,2,Alain ProstPRO,McLaren Honda,43,1:28.107
2,1,Ayrton SennaSEN,McLaren Honda,43,1:28.179
3,5,Thierry BoutsenBOU,Williams Renault,43,1:28.245
4,28,Gerhard BergerBER,Ferrari,43,1:28.712
5,27,Nigel MansellMAN,Ferrari,33,1:28.820
6,6,Riccardo PatresePAT,Williams Renault,33,1:28.857
7,19,Alessandro NanniniNAN,Benetton Ford,27,1:29.726
8,16,Ivan CapelliCAP,March Judd,9,1:30.236
9,7,Martin BrundleBRU,Brabham Judd,32,1:30.437
10,4,Jean AlesiALE,Tyrrell Ford,32,1:30.588
11,11,Nelson PiquetPIQ,Lotus Judd,8,1:30.976
12,21,Alex CaffiCAF,Dallara Ford,42,1:31.112
13,22,Andrea de CesarisDEC,Dallara Ford,38,1:31.138
14,23,Pierluigi MartiniMAR,Minardi Ford,37,1:31.468
15,24,Luis Perez-SalaPER,Minardi Ford,41,1:31.535
16,26,Olivier GrouillardGRO,Ligier Ford,29,1:31.639
17,12,Satoru NakajimaNAK,Lotus Judd,42,1:31.931
18,9,Derek WarwickWAR,Arrows Ford,12,1:32.302
19,17,Nicola LariniLAR,Osella Ford,7,1:32.416
20,3,Jonathan  PalmerPAL,Tyrrell Ford,12,1:32.474
21,29,Michele AlboretoALB,Lola Lamborghini,13,1:32.548
22,25,Rene ArnouxARN,Ligier Ford,6,1:32.577
23,37,Bertrand GachotGAC,Onyx Ford,15,1:32.691
24,15,Mauricio GugelminGUG,March Judd,9,1:33.571
25,30,Philippe AlliotALL,Lola Lamborghini,1,1:44.035
