Pos,No,Driver,Car,Lap,Time
1,2,Alain ProstPRO,McLaren Honda,45,1:26.795
2,1,Ayrton SennaSEN,McLaren Honda,37,1:27.273
3,5,Thierry BoutsenBOU,Williams Renault,45,1:29.571
4,27,Nigel MansellMAN,Ferrari,18,1:29.849
5,19,Alessandro NanniniNAN,Benetton Ford,49,1:29.868
6,6,Riccardo PatresePAT,Williams Renault,13,1:29.959
7,22,Andrea de CesarisDEC,Dallara Ford,52,1:29.995
8,3,Jonathan  PalmerPAL,Tyrrell Ford,49,1:30.164
9,40,Gabriele TarquiniTAR,AGS Ford,53,1:30.364
10,21,Alex CaffiCAF,Dallara Ford,44,1:30.371
11,10,Eddie  CheeverCHE,Arrows Ford,30,1:30.728
12,9,Derek WarwickWAR,Arrows Ford,36,1:30.749
13,11,Nelson PiquetPIQ,Lotus Judd,28,1:30.771
14,20,Johnny HerbertHER,Benetton Ford,50,1:31.020
15,17,Nicola LariniLAR,Osella Ford,15,1:31.791
16,24,Luis Perez-SalaPER,Minardi Ford,38,1:31.948
17,12,Satoru NakajimaNAK,Lotus Judd,43,1:31.970
18,15,Mauricio GugelminGUG,March Judd,16,1:32.038
19,7,Martin BrundleBRU,Brabham Judd,27,1:32.189
20,8,Stefano ModenaMOD,Brabham Judd,18,1:32.618
21,28,Gerhard BergerBER,Ferrari,3,1:33.319
22,26,Olivier GrouillardGRO,Ligier Ford,3,1:34.472
23,23,Pierluigi MartiniMAR,Minardi Ford,5,1:34.525
24,16,Ivan CapelliCAP,March Judd,1,1:42.912
