Pos,No,Driver,Car,Lap,Time
1,1,Ayrton SennaSEN,McLaren Honda,38,1:33.969
2,2,Alain ProstPRO,McLaren Honda,32,1:34.957
3,22,Andrea de CesarisDEC,Dallara Ford,64,1:35.155
4,27,Nigel MansellMAN,Ferrari,24,1:35.168
5,21,Alex CaffiCAF,Dallara Ford,50,1:35.291
6,3,Jonathan  PalmerPAL,Tyrrell Ford,50,1:35.349
7,36,Stefan JohanssonJOH,Onyx Ford,49,1:35.435
8,5,Thierry BoutsenBOU,Williams Renault,61,1:35.526
9,10,Eddie  CheeverCHE,Arrows Ford,64,1:35.650
10,11,Nelson PiquetPIQ,Lotus Judd,48,1:35.837
11,28,Gerhard BergerBER,Ferrari,33,1:35.930
12,6,Riccardo PatresePAT,Williams Renault,63,1:35.973
13,4,Michele AlboretoALB,Tyrrell Ford,17,1:36.140
14,8,Stefano ModenaMOD,Brabham Judd,19,1:36.213
15,7,Martin BrundleBRU,Brabham Judd,19,1:36.391
16,16,Ivan CapelliCAP,March Judd,19,1:36.722
17,38,Christian DannerDAN,Rial Ford,61,1:36.901
18,19,Alessandro NanniniNAN,Benetton Ford,3,1:37.134
19,40,Gabriele TarquiniTAR,AGS Ford,68,1:37.216
20,20,Johnny HerbertHER,Benetton Ford,49,1:37.287
21,12,Satoru NakajimaNAK,Lotus Judd,22,1:37.415
22,23,Pierluigi MartiniMAR,Minardi Ford,16,1:38.135
23,9,Derek WarwickWAR,Arrows Ford,3,1:38.223
24,30,Philippe AlliotALL,Lola Lamborghini,3,1:38.690
25,15,Mauricio GugelminGUG,March Judd,6,1:38.762
26,24,Luis Perez-SalaPER,Minardi Ford,39,1:39.506
