Pos,No,Driver,Car,Lap,Time
1,2,Alain ProstPRO,McLaren Honda,59,1:25.501
2,7,Martin BrundleBRU,Brabham Judd,58,1:25.882
3,1,Ayrton SennaSEN,McLaren Honda,23,1:26.017
4,6,Riccardo PatresePAT,Williams Renault,66,1:26.369
5,27,Nigel MansellMAN,Ferrari,29,1:26.946
6,22,Andrea de CesarisDEC,Dallara Ford,71,1:27.240
7,5,Thierry BoutsenBOU,Williams Renault,62,1:27.290
8,3,Jonathan  PalmerPAL,Tyrrell Ford,70,1:27.745
9,8,Stefano ModenaMOD,Brabham Judd,73,1:28.188
10,16,Ivan CapelliCAP,March Judd,71,1:28.204
11,10,Eddie  CheeverCHE,Arrows Ford,71,1:28.506
12,21,Alex CaffiCAF,Dallara Ford,58,1:28.680
13,4,Michele AlboretoALB,Tyrrell Ford,71,1:29.063
14,40,Gabriele TarquiniTAR,AGS Ford,32,1:29.203
15,19,Alessandro NanniniNAN,Benetton Ford,28,1:29.251
16,30,Philippe AlliotALL,Lola Lamborghini,8,1:29.446
17,20,Johnny HerbertHER,Benetton Ford,43,1:29.685
18,11,Nelson PiquetPIQ,Lotus Judd,28,1:29.808
19,24,Luis Perez-SalaPER,Minardi Ford,16,1:30.890
20,31,Roberto MorenoMOR,Coloni Ford,31,1:31.114
21,32,Pierre Henri RaphanelRAP,Coloni Ford,15,1:31.253
22,25,Rene ArnouxARN,Ligier Ford,15,1:31.358
23,9,Derek WarwickWAR,Arrows Ford,2,1:32.050
24,23,Pierluigi MartiniMAR,Minardi Ford,3,1:32.270
25,15,Mauricio GugelminGUG,March Judd,5,1:32.334
26,26,Olivier GrouillardGRO,Ligier Ford,2,1:34.265
