Pos,No,Driver,Car,Lap,Time
1,12,Satoru NakajimaNAK,Lotus Judd,64,1:38.480
2,6,Riccardo PatresePAT,Williams Renault,59,1:38.685
3,19,Alessandro NanniniNAN,Benetton Ford,59,1:40.336
4,5,Thierry BoutsenBOU,Williams Renault,54,1:40.380
5,1,Ayrton SennaSEN,McLaren Honda,6,1:41.159
6,27,Nigel MansellMAN,Ferrari,16,1:42.406
7,37,Jyrki JarvilehtoJAR,Onyx Ford,26,1:42.509
8,20,Emanuele PirroPIR,Benetton Ford,49,1:43.144
9,11,Nelson PiquetPIQ,Lotus Judd,19,1:44.277
10,10,Eddie  CheeverCHE,Arrows Ford,22,1:44.305
11,15,Mauricio GugelminGUG,March Judd,62,1:44.734
12,4,Jean AlesiALE,Tyrrell Ford,5,1:44.900
13,9,Derek WarwickWAR,Arrows Ford,6,1:45.700
14,23,Pierluigi MartiniMAR,Minardi Ford,57,1:46.189
15,28,Gerhard BergerBER,Ferrari,6,1:46.911
16,26,Olivier GrouillardGRO,Ligier Ford,19,1:46.973
17,21,Alex CaffiCAF,Dallara Ford,11,1:47.255
18,22,Andrea de CesarisDEC,Dallara Ford,10,1:47.525
19,8,Stefano ModenaMOD,Brabham Judd,56,1:48.171
20,7,Martin BrundleBRU,Brabham Judd,9,1:48.366
21,16,Ivan CapelliCAP,March Judd,9,1:48.521
22,30,Philippe AlliotALL,Lola Lamborghini,6,1:49.251
23,25,Rene ArnouxARN,Ligier Ford,3,1:50.375
24,18,Piercarlo GhinzaniGHI,Osella Ford,16,1:51.975
