Pos,No,Driver,Car,Lap,Time
1,2,Alain ProstPRO,McLaren Honda,44,2:11.571
2,27,Nigel MansellMAN,Ferrari,44,2:11.736
3,23,Pierluigi MartiniMAR,Minardi Ford,40,2:12.101
4,1,Ayrton SennaSEN,McLaren Honda,42,2:12.890
5,22,Andrea de CesarisDEC,Dallara Ford,32,2:13.176
6,5,Thierry BoutsenBOU,Williams Renault,39,2:13.842
7,9,Derek WarwickWAR,Arrows Ford,42,2:14.106
8,19,Alessandro NanniniNAN,Benetton Ford,43,2:14.399
9,30,Philippe AlliotALL,Lola Lamborghini,37,2:14.675
10,16,Ivan CapelliCAP,March Judd,37,2:15.701
11,20,Emanuele PirroPIR,Benetton Ford,41,2:15.868
12,10,Eddie  CheeverCHE,Arrows Ford,36,2:16.727
13,26,Olivier GrouillardGRO,Ligier Ford,42,2:17.253
14,36,Stefan JohanssonJOH,Onyx Ford,42,2:17.294
15,15,Mauricio GugelminGUG,March Judd,31,2:17.411
16,6,Riccardo PatresePAT,Williams Renault,16,2:18.273
17,28,Gerhard BergerBER,Ferrari,6,2:18.865
18,37,Bertrand GachotGAC,Onyx Ford,19,2:19.405
19,3,Jonathan  PalmerPAL,Tyrrell Ford,40,2:19.772
20,29,Michele AlboretoALB,Lola Lamborghini,18,2:21.323
21,24,Luis Perez-SalaPER,Minardi Ford,39,2:22.222
22,21,Alex CaffiCAF,Dallara Ford,12,2:22.790
23,4,Johnny HerbertHER,Tyrrell Ford,3,2:26.020
24,25,Rene ArnouxARN,Ligier Ford,3,2:26.022
25,7,Martin BrundleBRU,Brabham Judd,5,2:27.325
26,8,Stefano ModenaMOD,Brabham Judd,3,2:31.976
