Pos,No,Driver,Car,Lap,Time
1,28,Gerhard BergerBER,Ferrari,49,1:18.986
2,2,Alain ProstPRO,McLaren Honda,48,1:19.385
3,1,Ayrton SennaSEN,McLaren Honda,47,1:19.490
4,5,Thierry BoutsenBOU,Williams Renault,38,1:19.575
5,6,Riccardo PatresePAT,Williams Renault,46,1:19.796
6,15,Mauricio GugelminGUG,March Judd,69,1:20.571
7,30,Philippe AlliotALL,Lola Lamborghini,33,1:20.697
8,19,Alessandro NanniniNAN,Benetton Ford,43,1:20.722
9,7,Martin BrundleBRU,Brabham Judd,50,1:21.167
10,23,Pierluigi MartiniMAR,Minardi Ford,34,1:21.170
11,36,Stefan JohanssonJOH,Onyx Ford,45,1:21.224
12,21,Alex CaffiCAF,Dallara Ford,33,1:21.300
13,8,Stefano ModenaMOD,Brabham Judd,64,1:21.451
14,3,Jonathan  PalmerPAL,Tyrrell Ford,34,1:21.562
15,25,Rene ArnouxARN,Ligier Ford,63,1:21.603
16,29,Michele AlboretoALB,Lola Lamborghini,56,1:21.756
17,12,Satoru NakajimaNAK,Lotus Judd,39,1:21.794
18,24,Luis Perez-SalaPER,Minardi Ford,60,1:22.114
19,11,Nelson PiquetPIQ,Lotus Judd,22,1:22.356
20,16,Ivan CapelliCAP,March Judd,18,1:22.873
21,9,Derek WarwickWAR,Arrows Ford,27,1:22.926
22,22,Andrea de CesarisDEC,Dallara Ford,4,1:23.592
23,10,Eddie  CheeverCHE,Arrows Ford,7,1:23.732
24,20,Emanuele PirroPIR,Benetton Ford,3,1:24.080
25,31,Roberto MorenoMOR,Coloni Ford,10,1:25.411
