Pos,No,Driver,Car,Lap,Time
1,1,Ayrton SennaSEN,McLaren Honda,55,1:25.779
2,6,Riccardo PatresePAT,Williams Renault,71,1:26.211
3,28,Gerhard BergerBER,Ferrari,53,1:26.213
4,30,Philippe AlliotALL,Lola Lamborghini,32,1:26.272
5,11,Nelson PiquetPIQ,Lotus Judd,70,1:26.476
6,10,Eddie  CheeverCHE,Arrows Ford,56,1:26.650
7,2,Alain ProstPRO,McLaren Honda,51,1:26.758
8,4,Jean AlesiALE,Tyrrell Ford,38,1:26.807
9,9,Derek WarwickWAR,Arrows Ford,61,1:27.186
10,20,Emanuele PirroPIR,Benetton Ford,44,1:27.272
11,19,Alessandro NanniniNAN,Benetton Ford,14,1:27.301
12,3,Jonathan  PalmerPAL,Tyrrell Ford,57,1:27.540
13,7,Martin BrundleBRU,Brabham Judd,41,1:27.870
14,22,Andrea de CesarisDEC,Dallara Ford,56,1:28.016
15,15,Mauricio GugelminGUG,March Judd,43,1:28.285
16,24,Luis Perez-SalaPER,Minardi Ford,45,1:28.322
17,16,Ivan CapelliCAP,March Judd,21,1:28.582
18,23,Pierluigi MartiniMAR,Minardi Ford,3,1:29.000
19,21,Alex CaffiCAF,Dallara Ford,23,1:29.338
20,5,Thierry BoutsenBOU,Williams Renault,39,1:29.457
21,26,Olivier GrouillardGRO,Ligier Ford,11,1:29.611
22,8,Stefano ModenaMOD,Brabham Judd,11,1:30.142
23,37,Jyrki JarvilehtoJAR,Onyx Ford,8,1:30.206
24,17,Nicola LariniLAR,Osella Ford,5,1:30.578
25,18,Piercarlo GhinzaniGHI,Osella Ford,15,1:31.570
