Pos,No,Driver,Car,Lap,Time
1,15,Mauricio GugelminGUG,March Judd,29,1:12.090
2,19,Alessandro NanniniNAN,Benetton Ford,26,1:12.406
3,2,Alain ProstPRO,McLaren Honda,38,1:12.500
4,27,Nigel MansellMAN,Ferrari,75,1:12.542
5,11,Nelson PiquetPIQ,Lotus Judd,66,1:12.723
6,16,Ivan CapelliCAP,March Judd,30,1:12.737
7,5,Thierry BoutsenBOU,Williams Renault,3,1:12.755
8,28,Gerhard BergerBER,Ferrari,4,1:12.937
9,4,Jean AlesiALE,Tyrrell Ford,52,1:12.964
10,6,Riccardo PatresePAT,Williams Renault,37,1:12.977
11,29,Eric BernardBER,Lola Lamborghini,55,1:13.144
12,10,Eddie  CheeverCHE,Arrows Ford,41,1:13.171
13,36,Stefan JohanssonJOH,Onyx Ford,55,1:13.175
14,3,Jonathan  PalmerPAL,Tyrrell Ford,49,1:13.262
15,37,Bertrand GachotGAC,Onyx Ford,34,1:13.358
16,26,Olivier GrouillardGRO,Ligier Ford,36,1:13.399
17,12,Satoru NakajimaNAK,Lotus Judd,42,1:13.657
18,20,Emanuele PirroPIR,Benetton Ford,75,1:13.712
19,30,Philippe AlliotALL,Lola Lamborghini,3,1:13.719
20,8,Stefano ModenaMOD,Brabham Judd,64,1:14.137
21,9,Martin DonnellyDON,Arrows Ford,39,1:14.538
22,23,Pierluigi MartiniMAR,Minardi Ford,29,1:14.631
23,21,Alex CaffiCAF,Dallara Ford,21,1:14.789
24,25,Rene ArnouxARN,Ligier Ford,4,1:14.956
25,40,Gabriele TarquiniTAR,AGS Ford,4,1:15.437
