Pos,No,Driver,Car,Lap,Time
1,27,Nigel MansellMAN,Ferrari,41,1:20.420
2,2,Alain ProstPRO,McLaren Honda,43,1:20.506
3,1,Ayrton SennaSEN,McLaren Honda,43,1:20.585
4,4,Michele AlboretoALB,Tyrrell Ford,43,1:21.230
5,6,Riccardo PatresePAT,Williams Renault,42,1:21.383
6,26,Olivier GrouillardGRO,Ligier Ford,63,1:22.093
7,19,Alessandro NanniniNAN,Benetton Ford,50,1:22.110
8,10,Eddie  CheeverCHE,Arrows Ford,54,1:22.111
9,8,Stefano ModenaMOD,Brabham Judd,41,1:22.233
10,40,Gabriele TarquiniTAR,AGS Ford,44,1:22.318
11,7,Martin BrundleBRU,Brabham Judd,52,1:22.344
12,11,Nelson PiquetPIQ,Lotus Judd,54,1:22.560
13,30,Philippe AlliotALL,Lola Lamborghini,27,1:22.593
14,9,Derek WarwickWAR,Arrows Ford,32,1:22.777
15,12,Satoru NakajimaNAK,Lotus Judd,34,1:22.907
16,28,Gerhard BergerBER,Ferrari,15,1:22.981
17,5,Thierry BoutsenBOU,Williams Renault,15,1:22.991
18,20,Johnny HerbertHER,Benetton Ford,42,1:23.095
19,36,Stefan JohanssonJOH,Onyx Ford,14,1:23.416
20,38,Christian DannerDAN,Rial Ford,52,1:23.524
21,23,Pierluigi MartiniMAR,Minardi Ford,48,1:23.539
22,25,Rene ArnouxARN,Ligier Ford,43,1:23.867
23,21,Alex CaffiCAF,Dallara Ford,30,1:24.527
24,3,Jonathan  PalmerPAL,Tyrrell Ford,8,1:24.660
25,22,Andrea de CesarisDEC,Dallara Ford,11,1:25.424
26,16,Ivan CapelliCAP,March Judd,1,1:46.744
