Pos,No,Driver,Car,Lap,Time
1,3,Jonathan  PalmerPAL,Tyrrell Ford,11,1:31.925
2,1,Ayrton SennaSEN,McLaren Honda,15,1:32.143
3,11,Nelson PiquetPIQ,Lotus Judd,11,1:32.422
4,22,Andrea de CesarisDEC,Dallara Ford,11,1:32.481
5,16,Ivan CapelliCAP,March Judd,14,1:32.742
6,21,Alex CaffiCAF,Dallara Ford,15,1:33.167
7,5,Thierry BoutsenBOU,Williams Renault,14,1:33.790
8,15,Mauricio GugelminGUG,March Judd,11,1:34.231
9,24,Luis Perez-SalaPER,Minardi Ford,10,1:34.509
10,6,Riccardo PatresePAT,Williams Renault,15,1:35.251
11,36,Stefan JohanssonJOH,Onyx Ford,10,1:35.333
12,31,Roberto MorenoMOR,Coloni Ford,13,1:35.369
13,17,Nicola LariniLAR,Osella Ford,11,1:35.726
14,38,Christian DannerDAN,Rial Ford,11,1:35.970
15,9,Derek WarwickWAR,Arrows Ford,15,1:36.443
16,30,Philippe AlliotALL,Lola Lamborghini,11,1:36.687
17,25,Rene ArnouxARN,Ligier Ford,11,1:37.131
18,28,Gerhard BergerBER,Ferrari,6,1:37.916
19,40,Gabriele TarquiniTAR,AGS Ford,5,1:38.284
20,10,Eddie  CheeverCHE,Arrows Ford,3,1:38.631
21,2,Alain ProstPRO,McLaren Honda,1,1:41.751
