Pos,No,Driver,Car,Lap,Time
1,27,Nigel MansellMAN,Ferrari,66,1:22.637
2,2,Alain ProstPRO,McLaren Honda,65,1:22.654
3,28,Gerhard BergerBER,Ferrari,37,1:23.214
4,1,Ayrton SennaSEN,McLaren Honda,64,1:23.313
5,5,Thierry BoutsenBOU,Williams Renault,48,1:23.396
6,7,Martin BrundleBRU,Brabham Judd,39,1:23.442
7,11,Nelson PiquetPIQ,Lotus Judd,42,1:23.620
8,19,Alessandro NanniniNAN,Benetton Ford,45,1:23.702
9,10,Eddie  CheeverCHE,Arrows Ford,51,1:23.894
10,21,Alex CaffiCAF,Dallara Ford,40,1:24.075
11,3,Jonathan  PalmerPAL,Tyrrell Ford,61,1:24.166
12,9,Derek WarwickWAR,Arrows Ford,57,1:24.197
13,20,Emanuele PirroPIR,Benetton Ford,65,1:24.305
14,36,Stefan JohanssonJOH,Onyx Ford,39,1:24.464
15,6,Riccardo PatresePAT,Williams Renault,43,1:24.559
16,15,Mauricio GugelminGUG,March Judd,15,1:24.664
17,4,Jean AlesiALE,Tyrrell Ford,5,1:24.741
18,12,Satoru NakajimaNAK,Lotus Judd,21,1:24.903
19,8,Stefano ModenaMOD,Brabham Judd,52,1:25.149
20,37,Bertrand GachotGAC,Onyx Ford,34,1:25.207
21,16,Ivan CapelliCAP,March Judd,19,1:25.710
22,24,Luis Perez-SalaPER,Minardi Ford,52,1:26.185
23,23,Pierluigi MartiniMAR,Minardi Ford,15,1:26.691
24,18,Piercarlo GhinzaniGHI,Osella Ford,17,1:27.012
25,29,Michele AlboretoALB,Lola Lamborghini,24,1:27.840
