Pos,No,Driver,Car,Laps,Time/retired,Pts
1,5,Sebastian VettelVET,Ferrari,57,1:33:53.374,25
2,44,Lewis HamiltonHAM,Mercedes,57,+6.660s,18
3,77,Valtteri BottasBOT,Mercedes,57,+20.397s,15
4,7,Kimi RäikkönenRAI,Ferrari,57,+22.475s,12
5,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,57,+39.346s,10
6,19,Felipe MassaMAS,Williams Mercedes,57,+54.326s,8
7,11,Sergio PerezPER,Force India Mercedes,57,+62.606s,6
8,8,Romain GrosjeanGRO,Haas Ferrari,57,+74.865s,4
9,27,Nico HulkenbergHUL,Renault,57,+80.188s,2
10,31,Esteban OconOCO,Force India Mercedes,57,+95.711s,1
11,94,Pascal WehrleinWEH,Sauber Ferrari,56,+1 lap,0
12,26,Daniil KvyatKVY,Toro Rosso,56,+1 lap,0
13,30,Jolyon PalmerPAL,Renault,56,+1 lap,0
14,14,Fernando AlonsoALO,McLaren Honda,54,DNF,0
NC,9,Marcus EricssonERI,Sauber Ferrari,50,DNF,0
NC,55,Carlos SainzSAI,Toro Rosso,12,DNF,0
NC,18,Lance StrollSTR,Williams Mercedes,12,DNF,0
NC,33,Max VerstappenVER,Red Bull Racing TAG Heuer,11,DNF,0
NC,20,Kevin MagnussenMAG,Haas Ferrari,8,DNF,0
NC,2,Stoffel VandoorneVAN,McLaren Honda,0,DNS,0
