Pos,No,Driver,Car,Laps,Time/retired,Pts
1,33,Max VerstappenVER,Red Bull Racing TAG Heuer,71,1:36:26.552,25
2,77,Valtteri BottasBOT,Mercedes,71,+19.678s,18
3,7,Kimi RäikkönenRAI,Ferrari,71,+54.007s,15
4,5,Sebastian VettelVET,Ferrari,71,+70.078s,12
5,31,Esteban OconOCO,Force India Mercedes,70,+1 lap,10
6,18,Lance StrollSTR,Williams Mercedes,70,+1 lap,8
7,11,Sergio PerezPER,Force India Mercedes,70,+1 lap,6
8,20,Kevin MagnussenMAG,Haas Ferrari,70,+1 lap,4
9,44,Lewis HamiltonHAM,Mercedes,70,+1 lap,2
10,14,Fernando AlonsoALO,McLaren Honda,70,+1 lap,1
11,19,Felipe MassaMAS,Williams Mercedes,70,+1 lap,0
12,2,Stoffel VandoorneVAN,McLaren Honda,70,+1 lap,0
13,10,Pierre GaslyGAS,Toro Rosso,70,+1 lap,0
14,94,Pascal WehrleinWEH,Sauber Ferrari,69,+2 laps,0
15,8,Romain GrosjeanGRO,Haas Ferrari,69,+2 laps,0
NC,55,Carlos SainzSAI,Renault,59,DNF,0
NC,9,Marcus EricssonERI,Sauber Ferrari,55,DNF,0
NC,28,Brendon HartleyHAR,Toro Rosso,30,DNF,0
NC,27,Nico HulkenbergHUL,Renault,24,DNF,0
NC,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,5,DNF,0
