Pos,No,Driver,Car,Laps,Time/retired,Pts
1,44,Lewis HamiltonHAM,Mercedes,58,2:03:23.544,25
2,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,58,+4.507s,18
3,77,Valtteri BottasBOT,Mercedes,58,+8.800s,15
4,55,Carlos SainzSAI,Toro Rosso,58,+22.822s,12
5,11,Sergio PerezPER,Force India Mercedes,58,+25.359s,10
6,30,Jolyon PalmerPAL,Renault,58,+27.259s,8
7,2,Stoffel VandoorneVAN,McLaren Honda,58,+30.388s,6
8,18,Lance StrollSTR,Williams Mercedes,58,+41.696s,4
9,8,Romain GrosjeanGRO,Haas Ferrari,58,+43.282s,2
10,31,Esteban OconOCO,Force India Mercedes,58,+44.795s,1
11,19,Felipe MassaMAS,Williams Mercedes,58,+46.536s,0
12,94,Pascal WehrleinWEH,Sauber Ferrari,56,+2 laps,0
NC,20,Kevin MagnussenMAG,Haas Ferrari,50,DNF,0
NC,27,Nico HulkenbergHUL,Renault,48,DNF,0
NC,9,Marcus EricssonERI,Sauber Ferrari,35,DNF,0
NC,26,Daniil KvyatKVY,Toro Rosso,10,DNF,0
NC,14,Fernando AlonsoALO,McLaren Honda,8,DNF,0
NC,5,Sebastian VettelVET,Ferrari,0,DNF,0
NC,33,Max VerstappenVER,Red Bull Racing TAG Heuer,0,DNF,0
NC,7,Kimi RäikkönenRAI,Ferrari,0,DNF,0
