Pos,No,Driver,Car,Laps,Time/retired,Pts
1,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,51,2:03:55.573,25
2,77,Valtteri BottasBOT,Mercedes,51,+3.904s,18
3,18,Lance StrollSTR,Williams Mercedes,51,+4.009s,15
4,5,Sebastian VettelVET,Ferrari,51,+5.976s,12
5,44,Lewis HamiltonHAM,Mercedes,51,+6.188s,10
6,31,Esteban OconOCO,Force India Mercedes,51,+30.298s,8
7,20,Kevin MagnussenMAG,Haas Ferrari,51,+41.753s,6
8,55,Carlos SainzSAI,Toro Rosso,51,+49.400s,4
9,14,Fernando AlonsoALO,McLaren Honda,51,+59.551s,2
10,94,Pascal WehrleinWEH,Sauber Ferrari,51,+89.093s,1
11,9,Marcus EricssonERI,Sauber Ferrari,51,+91.794s,0
12,2,Stoffel VandoorneVAN,McLaren Honda,51,+92.160s,0
13,8,Romain GrosjeanGRO,Haas Ferrari,50,+1 lap,0
14,7,Kimi RäikkönenRAI,Ferrari,46,DNF,0
NC,11,Sergio PerezPER,Force India Mercedes,39,DNF,0
NC,19,Felipe MassaMAS,Williams Mercedes,25,DNF,0
NC,27,Nico HulkenbergHUL,Renault,24,DNF,0
NC,33,Max VerstappenVER,Red Bull Racing TAG Heuer,12,DNF,0
NC,26,Daniil KvyatKVY,Toro Rosso,9,DNF,0
NC,30,Jolyon PalmerPAL,Renault,7,DNF,0
