Pos,No,Driver,Car,Laps,Time/retired,Pts
1,44,Lewis HamiltonHAM,Mercedes,53,1:27:31.194,25
2,33,Max VerstappenVER,Red Bull Racing TAG Heuer,53,+1.211s,18
3,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,53,+9.679s,15
4,77,Valtteri BottasBOT,Mercedes,53,+10.580s,12
5,7,Kimi RäikkönenRAI,Ferrari,53,+32.622s,10
6,31,Esteban OconOCO,Force India Mercedes,53,+67.788s,8
7,11,Sergio PerezPER,Force India Mercedes,53,+71.424s,6
8,20,Kevin MagnussenMAG,Haas Ferrari,53,+88.953s,4
9,8,Romain GrosjeanGRO,Haas Ferrari,53,+89.883s,2
10,19,Felipe MassaMAS,Williams Mercedes,52,+1 lap,1
11,14,Fernando AlonsoALO,McLaren Honda,52,+1 lap,0
12,30,Jolyon PalmerPAL,Renault,52,+1 lap,0
13,10,Pierre GaslyGAS,Toro Rosso,52,+1 lap,0
14,2,Stoffel VandoorneVAN,McLaren Honda,52,+1 lap,0
15,94,Pascal WehrleinWEH,Sauber Ferrari,51,+2 laps,0
NC,18,Lance StrollSTR,Williams Mercedes,45,DNF,0
NC,27,Nico HulkenbergHUL,Renault,40,DNF,0
NC,9,Marcus EricssonERI,Sauber Ferrari,7,DNF,0
NC,5,Sebastian VettelVET,Ferrari,4,DNF,0
NC,55,Carlos SainzSAI,Toro Rosso,0,DNF,0
