Pos,No,Driver,Car,Time,Gap,Laps
1,4,Jenson ButtonBUT,McLaren Mercedes,1:36.910,,18
2,3,Lewis HamiltonHAM,McLaren Mercedes,1:37.199,+0.289s,18
3,2,Mark WebberWEB,Red Bull Racing Renault,1:37.723,+0.813s,23
4,5,Fernando AlonsoALO,Ferrari,1:38.029,+1.119s,21
5,6,Felipe MassaMAS,Ferrari,1:38.434,+1.524s,18
6,7,Michael SchumacherMSC,Mercedes,1:39.559,+2.649s,23
7,10,Vitaly PetrovPET,Renault,1:39.612,+2.702s,20
8,14,Adrian SutilSUT,Force India Mercedes,1:39.660,+2.750s,22
9,1,Sebastian VettelVET,Red Bull Racing Renault,1:39.695,+2.785s,22
10,8,Nico RosbergROS,Mercedes,1:39.743,+2.833s,25
11,15,Paul di RestaDIR,Force India Mercedes,1:39.847,+2.937s,22
12,19,Jaime AlguersuariALG,STR Ferrari,1:39.851,+2.941s,20
13,18,Sebastien BuemiBUE,STR Ferrari,1:39.964,+3.054s,21
14,16,Kamui KobayashiKOB,Sauber Ferrari,1:40.005,+3.095s,17
15,17,Sergio PerezPER,Sauber Ferrari,1:40.030,+3.120s,18
16,9,Bruno SennaSEN,Renault,1:40.451,+3.541s,19
17,12,Pastor MaldonadoMAL,Williams Cosworth,1:40.529,+3.619s,20
18,11,Rubens BarrichelloBAR,Williams Cosworth,1:40.711,+3.801s,22
19,20,Heikki KovalainenKOV,Lotus Renault,1:41.909,+4.999s,18
20,21,Jarno TrulliTRU,Lotus Renault,1:41.945,+5.035s,13
21,24,Timo GlockGLO,Virgin Cosworth,1:43.275,+6.365s,19
22,25,Jerome d'AmbrosioDAM,Virgin Cosworth,1:44.377,+7.467s,16
23,23,Vitantonio LiuzziLIU,HRT Cosworth,1:44.421,+7.511s,22
24,22,Daniel RicciardoRIC,HRT Cosworth,1:45.143,+8.233s,11
