Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,16,Charles LeclercLEC,Ferrari,1:42.775,1:42.056,1:41.365,20
2,81,Oscar PiastriPIA,McLaren Mercedes,1:43.033,1:42.598,1:41.686,19
3,55,Carlos SainzSAI,Ferrari,1:43.357,1:42.503,1:41.805,23
4,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:43.213,1:42.263,1:41.813,15
5,63,George RussellRUS,Mercedes,1:43.139,1:42.329,1:41.874,20
6,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:43.097,1:42.042,1:42.023,20
7,44,Lewis HamiltonHAM,Mercedes,1:43.089,1:42.765,1:42.289,22
8,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:43.472,1:42.426,1:42.369,19
9,43,Franco ColapintoCOL,Williams Mercedes,1:43.138,1:42.473,1:42.530,20
10,23,Alexander AlbonALB,Williams Mercedes,1:42.899,1:42.840,1:42.859,19
11,50,Oliver BearmanBEA,Haas Ferrari,1:43.471,1:42.968,,14
12,22,Yuki TsunodaTSU,RB Honda RBPT,1:43.337,1:43.035,,16
DQ,10,Pierre GaslyGAS,Alpine Renault,,,,0
13,27,Nico HulkenbergHUL,Haas Ferrari,1:43.101,1:43.191,,14
14,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:43.370,1:43.404,,14
15,3,Daniel RicciardoRIC,RB Honda RBPT,1:43.547,,,9
16,4,Lando NorrisNOR,McLaren Mercedes,1:43.609,,,7
17,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:43.618,,,7
18,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:44.246,,,10
19,31,Esteban OconOCO,Alpine Renault,1:44.504,,,8
