Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,4,Lando NorrisNOR,McLaren Mercedes,1:30.002,1:30.007,1:29.525,16
2,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:30.157,1:29.680,1:29.728,18
3,44,Lewis HamiltonHAM,Mercedes,1:30.393,1:29.929,1:29.841,16
4,63,George RussellRUS,Mercedes,1:30.811,1:30.153,1:29.867,17
5,81,Oscar PiastriPIA,McLaren Mercedes,1:30.258,1:29.640,1:29.953,18
6,27,Nico HulkenbergHUL,Haas Ferrari,1:30.724,1:30.150,1:30.115,18
7,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:30.684,1:30.450,1:30.214,17
8,22,Yuki TsunodaTSU,RB Honda RBPT,1:30.716,1:30.289,1:30.354,17
9,16,Charles LeclercLEC,Ferrari,1:30.786,1:29.747,DNF,19
10,55,Carlos SainzSAI,Ferrari,1:30.670,1:30.108,DNS,16
11,23,Alexander AlbonALB,Williams Mercedes,1:30.679,1:30.474,,12
12,43,Franco ColapintoCOL,Williams Mercedes,1:30.704,1:30.481,,12
13,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:30.624,1:30.579,,14
14,20,Kevin MagnussenMAG,Haas Ferrari,1:30.829,1:30.653,,12
15,31,Esteban OconOCO,Alpine Renault,1:30.958,1:30.769,,15
16,3,Daniel RicciardoRIC,RB Honda RBPT,1:31.085,,,6
17,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:31.094,,,6
18,10,Pierre GaslyGAS,Alpine Renault,1:31.312,,,9
19,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:31.572,,,9
20,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:32.054,,,9
