Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,4,Lando NorrisNOR,McLaren Mercedes,1:30.944,1:24.844,1:23.405,33
2,63,George RussellRUS,Mercedes,1:29.121,1:26.307,1:23.578,29
3,22,Yuki TsunodaTSU,RB Honda RBPT,1:29.172,1:26.464,1:24.111,30
4,31,Esteban OconOCO,Alpine Renault,1:29.171,1:26.206,1:24.475,31
5,30,Liam LawsonLAW,RB Honda RBPT,1:30.758,1:25.654,1:24.484,30
6,16,Charles LeclercLEC,Ferrari,1:29.839,1:26.097,1:24.525,29
7,23,Alexander AlbonALB,Williams Mercedes,1:29.072,1:25.889,1:24.657,28
8,81,Oscar PiastriPIA,McLaren Mercedes,1:30.114,1:25.179,1:24.686,28
9,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:30.207,1:25.035,1:28.998,21
10,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:30.580,1:26.334,,19
11,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:30.633,1:26.472,,21
12,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:28.522,1:27.771,,19
13,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:30.035,1:28.158,,18
14,55,Carlos SainzSAI,Ferrari,1:30.303,1:29.406,,17
15,10,Pierre GaslyGAS,Alpine Renault,1:29.420,1:29.614,,21
16,44,Lewis HamiltonHAM,Mercedes,1:31.150,,,11
17,50,Oliver BearmanBEA,Haas Ferrari,1:31.229,,,11
18,43,Franco ColapintoCOL,Williams Mercedes,1:31.270,,,5
19,27,Nico HulkenbergHUL,Haas Ferrari,1:31.623,,,12
20,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:32.263,,,12
