Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,16,Charles LeclercLEC,Ferrari,1:11.584,1:10.825,1:10.270,26
2,81,Oscar PiastriPIA,McLaren Mercedes,1:11.500,1:10.756,1:10.424,24
3,55,Carlos SainzSAI,Ferrari,1:11.543,1:11.075,1:10.518,28
4,4,Lando NorrisNOR,McLaren Mercedes,1:11.760,1:10.732,1:10.542,27
5,63,George RussellRUS,Mercedes,1:11.492,1:10.929,1:10.543,28
6,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:11.711,1:10.745,1:10.567,28
7,44,Lewis HamiltonHAM,Mercedes,1:11.528,1:11.056,1:10.621,28
8,22,Yuki TsunodaTSU,RB Honda RBPT,1:11.852,1:11.106,1:10.858,25
9,23,Alexander AlbonALB,Williams Mercedes,1:11.623,1:11.216,1:10.948,29
10,10,Pierre GaslyGAS,Alpine Renault,1:11.714,1:10.896,1:11.311,30
11,31,Esteban OconOCO,Alpine Renault,1:11.887,1:11.285,,20
DQ,27,Nico HulkenbergHUL,Haas Ferrari,1:11.876,1:11.440,,20
12,3,Daniel RicciardoRIC,RB Honda RBPT,1:11.785,1:11.482,,21
13,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:11.728,1:11.563,,17
DQ,20,Kevin MagnussenMAG,Haas Ferrari,1:11.832,1:11.725,,18
14,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:12.019,,,11
15,2,Logan SargeantSAR,Williams Mercedes,1:12.020,,,12
16,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:12.060,,,12
17,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:12.512,,,11
18,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:13.028,,,11
