Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:30.031,1:29.374,1:29.179,17
2,16,Charles LeclercLEC,Ferrari,1:30.243,1:29.165,1:29.407,19
3,63,George RussellRUS,Mercedes,1:30.350,1:29.922,1:29.485,17
4,55,Carlos SainzSAI,Ferrari,1:29.909,1:29.573,1:29.507,18
5,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:30.221,1:29.932,1:29.537,17
6,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:30.179,1:29.801,1:29.542,14
7,4,Lando NorrisNOR,McLaren Mercedes,1:30.143,1:29.941,1:29.614,15
8,81,Oscar PiastriPIA,McLaren Mercedes,1:30.531,1:30.122,1:29.683,18
9,44,Lewis HamiltonHAM,Mercedes,1:30.451,1:29.718,1:29.710,18
10,27,Nico HulkenbergHUL,Haas Ferrari,1:30.566,1:29.851,1:30.502,18
11,22,Yuki TsunodaTSU,RB Honda RBPT,1:30.481,1:30.129,,12
12,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:29.965,1:30.200,,12
13,23,Alexander AlbonALB,Williams Mercedes,1:30.397,1:30.221,,12
14,3,Daniel RicciardoRIC,RB Honda RBPT,1:30.562,1:30.278,,12
15,20,Kevin MagnussenMAG,Haas Ferrari,1:30.646,1:30.529,,12
16,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:30.756,,,6
17,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:30.757,,,6
18,2,Logan SargeantSAR,Williams Mercedes,1:30.770,,,6
19,31,Esteban OconOCO,Alpine Renault,1:30.793,,,9
20,10,Pierre GaslyGAS,Alpine Renault,1:30.948,,,9
