Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,4,Lando NorrisNOR,McLaren Mercedes,1:33.616,1:32.851,1:32.330,16
2,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:33.046,1:32.584,1:32.361,17
3,55,Carlos SainzSAI,Ferrari,1:33.556,1:32.836,1:32.652,19
4,16,Charles LeclercLEC,Ferrari,1:33.241,1:32.962,1:32.740,20
5,81,Oscar PiastriPIA,McLaren Mercedes,1:33.864,1:33.057,1:32.950,19
6,63,George RussellRUS,Mercedes,1:33.536,1:33.142,1:32.974,15
7,10,Pierre GaslyGAS,Alpine Renault,1:33.550,1:33.162,1:33.018,20
8,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:33.973,1:33.429,1:33.309,18
9,20,Kevin MagnussenMAG,Haas Ferrari,1:33.564,1:33.474,1:33.481,17
10,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:33.611,1:33.020,DNF,17
11,22,Yuki TsunodaTSU,RB Honda RBPT,1:33.795,1:33.506,,14
12,27,Nico HulkenbergHUL,Haas Ferrari,1:33.601,1:33.544,,12
13,31,Esteban OconOCO,Alpine Renault,1:33.986,1:33.597,,15
14,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:34.033,1:33.759,,14
15,30,Liam LawsonLAW,RB Honda RBPT,1:33.339,DNS,,11
16,23,Alexander AlbonALB,Williams Mercedes,1:34.051,,,8
17,43,Franco ColapintoCOL,Williams Mercedes,1:34.062,,,6
18,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:34.152,,,9
19,44,Lewis HamiltonHAM,Mercedes,1:34.154,,,6
20,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:34.228,,,9
