Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,4,Lando NorrisNOR,McLaren Mercedes,1:17.755,1:15.540,1:15.227,22
2,81,Oscar PiastriPIA,McLaren Mercedes,1:17.504,1:15.785,1:15.249,21
3,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:17.087,1:15.770,1:15.273,21
4,55,Carlos SainzSAI,Ferrari,1:17.244,1:15.885,1:15.696,26
5,44,Lewis HamiltonHAM,Mercedes,1:17.087,1:16.307,1:15.854,24
6,16,Charles LeclercLEC,Ferrari,1:17.437,1:15.891,1:15.905,22
7,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:17.624,1:16.117,1:16.043,18
8,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:17.405,1:16.075,1:16.244,22
9,3,Daniel RicciardoRIC,RB Honda RBPT,1:17.050,1:16.202,1:16.447,20
10,22,Yuki TsunodaTSU,RB Honda RBPT,1:17.436,1:16.121,1:16.477,20
11,27,Nico HulkenbergHUL,Haas Ferrari,1:17.362,1:16.317,,16
12,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:17.487,1:16.384,,19
13,23,Alexander AlbonALB,Williams Mercedes,1:17.280,1:16.429,,16
14,2,Logan SargeantSAR,Williams Mercedes,1:17.770,1:16.543,,13
15,20,Kevin MagnussenMAG,Haas Ferrari,1:17.851,1:16.548,,15
16,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:17.886,,,6
17,63,George RussellRUS,Mercedes,1:17.968,,,9
18,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:18.037,,,12
19,31,Esteban OconOCO,Alpine Renault,1:18.049,,,6
20,10,Pierre GaslyGAS,Alpine Renault,1:18.166,,,6
