Pos,No,Driver,Car,Time
1,8,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,1:19.910
2,2,David CoulthardCOU,McLaren Mercedes,1:20.176
3,1,Mika HakkinenHAK,McLaren Mercedes,1:20.376
4,6,Ralf SchumacherRSC,Williams Supertec,1:20.444
5,18,Olivier PanisPAN,Prost Peugeot,1:20.638
6,9,Giancarlo FisichellaFIS,Benetton Playlife,1:20.781
7,7,Damon HillHIL,Jordan Mugen Honda,1:20.818
8,22,Jacques VilleneuveVIL,BAR Supertec,1:20.825
9,4,Eddie IrvineIRV,Ferrari,1:20.842
10,19,Jarno TrulliTRU,Prost Peugeot,1:20.965
11,10,Alexander WurzWUR,Benetton Playlife,1:21.144
12,3,Mika SaloSAL,Ferrari,1:21.314
13,12,Pedro DinizDIN,Sauber Petronas,1:21.345
14,17,Johnny HerbertHER,Stewart Ford,1:21.379
15,16,Rubens BarrichelloBAR,Stewart Ford,1:21.490
16,11,Jean AlesiALE,Sauber Petronas,1:21.634
17,23,Ricardo ZontaZON,BAR Supertec,1:22.267
18,5,Alessandro ZanardiZAN,Williams Supertec,1:22.284
19,20,Luca BadoerBAD,Minardi Ford,1:22.631
20,21,Marc GeneGEN,Minardi Ford,1:22.760
21,15,Toranosuke TakagiTAK,Arrows,1:23.401
22,14,Pedro de la RosaDLR,Arrows,1:23.698
