Pos,No,Driver,Car,Time
1,16,Rubens BarrichelloBAR,Stewart Ford,1:38.441
2,11,Jean AlesiALE,Sauber Petronas,1:38.881
3,18,Olivier PanisPAN,Prost Peugeot,1:40.400
4,2,David CoulthardCOU,McLaren Mercedes,1:40.403
5,8,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,1:40.690
6,3,Michael SchumacherMSC,Ferrari,1:41.127
7,9,Giancarlo FisichellaFIS,Benetton Playlife,1:41.825
8,19,Jarno TrulliTRU,Prost Peugeot,1:42.096
9,17,Johnny HerbertHER,Stewart Ford,1:42.199
10,23,Ricardo ZontaZON,BAR Supertec,1:42.228
11,12,Pedro DinizDIN,Sauber Petronas,1:42.942
12,22,Jacques VilleneuveVIL,BAR Supertec,1:43.748
13,10,Alexander WurzWUR,Benetton Playlife,1:44.319
14,1,Mika HakkinenHAK,McLaren Mercedes,1:44.368
15,5,Alessandro ZanardiZAN,Williams Supertec,1:44.912
16,6,Ralf SchumacherRSC,Williams Supertec,1:45.189
17,4,Eddie IrvineIRV,Ferrari,1:45.218
18,7,Damon HillHIL,Jordan Mugen Honda,1:45.334
19,14,Pedro de la RosaDLR,Arrows,1:48.215
20,15,Toranosuke TakagiTAK,Arrows,1:48.322
21,20,Luca BadoerBAD,Minardi Ford,1:46.784
22,21,Marc GeneGEN,Minardi Ford,1:46.324
