Pos,No,Driver,Car,Time
1,1,Mika HakkinenHAK,McLaren Mercedes,1:22.088
2,4,Eddie IrvineIRV,Ferrari,1:22.219
3,2,David CoulthardCOU,McLaren Mercedes,1:22.244
4,3,Michael SchumacherMSC,Ferrari,1:22.277
5,11,Jean AlesiALE,Sauber Petronas,1:22.388
6,22,Jacques VilleneuveVIL,BAR Supertec,1:22.703
7,16,Rubens BarrichelloBAR,Stewart Ford,1:22.920
8,8,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,1:22.938
9,19,Jarno TrulliTRU,Prost Peugeot,1:23.194
10,6,Ralf SchumacherRSC,Williams Supertec,1:23.303
11,7,Damon HillHIL,Jordan Mugen Honda,1:23.317
12,12,Pedro DinizDIN,Sauber Petronas,1:23.331
13,9,Giancarlo FisichellaFIS,Benetton Playlife,1:23.333
14,17,Johnny HerbertHER,Stewart Ford,1:23.505
15,18,Olivier PanisPAN,Prost Peugeot,1:23.559
16,23,Mika SaloSAL,BAR Supertec,1:23.683
17,5,Alessandro ZanardiZAN,Williams Supertec,1:23.703
18,10,Alexander WurzWUR,Benetton Playlife,1:23.824
19,14,Pedro de la RosaDLR,Arrows,1:24.619
20,15,Toranosuke TakagiTAK,Arrows,1:25.280
21,21,Marc GeneGEN,Minardi Ford,1:25.672
22,20,Luca BadoerBAD,Minardi Ford,1:25.833
