Pos,No,Driver,Car,Time
1,1,Mika HakkinenHAK,McLaren Mercedes,1:22.432
2,8,Heinz-Harald FrentzenFRE,Jordan Mugen Honda,1:22.926
3,2,David CoulthardCOU,McLaren Mercedes,1:23.177
4,5,Alessandro ZanardiZAN,Williams Supertec,1:23.432
5,6,Ralf SchumacherRSC,Williams Supertec,1:23.636
6,3,Mika SaloSAL,Ferrari,1:23.657
7,16,Rubens BarrichelloBAR,Stewart Ford,1:23.739
8,4,Eddie IrvineIRV,Ferrari,1:23.765
9,7,Damon HillHIL,Jordan Mugen Honda,1:23.979
10,18,Olivier PanisPAN,Prost Peugeot,1:24.016
11,22,Jacques VilleneuveVIL,BAR Supertec,1:24.188
12,19,Jarno TrulliTRU,Prost Peugeot,1:24.293
13,11,Jean AlesiALE,Sauber Petronas,1:24.591
14,10,Alexander WurzWUR,Benetton Playlife,1:24.593
15,17,Johnny HerbertHER,Stewart Ford,1:24.594
16,12,Pedro DinizDIN,Sauber Petronas,1:24.596
17,9,Giancarlo FisichellaFIS,Benetton Playlife,1:24.862
18,23,Ricardo ZontaZON,BAR Supertec,1:25.114
19,20,Luca BadoerBAD,Minardi Ford,1:25.348
20,21,Marc GeneGEN,Minardi Ford,1:25.695
21,14,Pedro de la RosaDLR,Arrows,1:26.383
22,15,Toranosuke TakagiTAK,Arrows,1:26.509
