Pos,No,Driver,Car,Laps,Time/retired,Pts
1,6,Jim ClarkCLA,Lotus Climax,40,2:14:38.400,9
2,12,Jackie StewartSTE,BRM,40,+26.300s,6
3,2,John SurteesSUR,Ferrari,40,+153.500s,4
4,16,Denny HulmeHUL,Brabham Climax,40,+173.100s,3
5,10,Graham HillHIL,BRM,39,+1 lap,2
6,36,Jo SiffertSIF,Brabham BRM,39,+1 lap,1
7,8,Mike SpenceSPE,Lotus Climax,39,+1 lap,0
8,4,Lorenzo BandiniBAN,Ferrari,36,DNF,0
9,30,Bob AndersonAND,Brabham Climax,34,DNF,0
NC,18,Bruce McLarenMCL,Cooper Climax,23,DNF,0
NC,34,Jo BonnierBON,Brabham Climax,21,DNF,0
NC,24,Chris AmonAMO,Lotus BRM,20,DNF,0
NC,22,Innes IrelandIRE,Lotus BRM,18,DNF,0
NC,14,Dan GurneyGUR,Brabham Climax,16,DNF,0
NC,26,Richie GintherGIN,Honda,9,DNF,0
NC,28,Ronnie BucknumBUC,Honda,4,DNF,0
NC,20,Jochen RindtRIN,Cooper Climax,3,DNF,0
