Pos,No,Driver,Car,Laps,Time/retired,Pts
1,5,Mario AndrettiAND,Lotus Ford,80,1:51:35.470,9
2,11,Niki LaudaLAU,Ferrari,80,+0.773s,6
3,20,Jody ScheckterSCH,Wolf Ford,80,+4.857s,4
4,4,Patrick DepaillerDEP,Tyrrell Ford,80,+74.487s,3
5,28,Emerson FittipaldiFIT,Fittipaldi Ford,80,+80.908s,2
6,34,Jean-Pierre JarierJAR,Penske Ford,79,+1 lap,1
7,1,James HuntHUN,McLaren Ford,79,+1 lap,0
8,6,Gunnar NilssonNIL,Lotus Ford,79,+1 lap,0
9,26,Jacques LaffiteLAF,Ligier Matra,78,DNF,0
10,10,Brian HentonHEN,March Ford,77,+3 laps,0
11,18,Hans BinderBIN,Surtees Ford,77,+3 laps,0
NC,3,Ronnie PetersonPET,Tyrrell Ford,62,DNF,0
NC,22,Clay RegazzoniREG,Ensign Ford,57,DNF,0
NC,8,Hans-Joachim StuckSTU,Brabham Alfa Romeo,53,DNF,0
NC,17,Alan  JonesJON,Shadow Ford,40,DNF,0
NC,2,Jochen MassMAS,McLaren Ford,39,DNF,0
DQ,7,John WatsonWAT,Brabham Alfa Romeo,33,DSQ,0
NC,16,Renzo ZorziZOR,Shadow Ford,27,DNF,0
NC,9,Alex RibeiroRIB,March Ford,15,DNF,0
NC,12,Carlos ReutemannREU,Ferrari,5,DNF,0
NC,30,Brett LungerLUN,March Ford,4,DNF,0
NC,19,Vittorio BrambillaBRA,Surtees Ford,0,DNF,0
