Pos,No,Driver,Car,Laps,Time/retired,Pts
1,11,Niki LaudaLAU,Ferrari,78,1:42:21.600,9
2,20,Jody ScheckterSCH,Wolf Ford,78,+5.200s,6
3,4,Patrick DepaillerDEP,Tyrrell Ford,78,+5.700s,4
4,1,James HuntHUN,McLaren Ford,78,+9.500s,3
5,2,Jochen MassMAS,McLaren Ford,78,+19.900s,2
6,7,John WatsonWAT,Brabham Alfa Romeo,78,+20.200s,1
7,19,Vittorio BrambillaBRA,Surtees Ford,78,+23.600s,0
8,12,Carlos ReutemannREU,Ferrari,78,+26.700s,0
9,22,Clay RegazzoniREG,Ensign Ford,78,+46.200s,0
10,28,Emerson FittipaldiFIT,Fittipaldi Ford,78,+71.700s,0
11,18,Hans BinderBIN,Surtees Ford,77,+1 lap,0
12,6,Gunnar NilssonNIL,Lotus Ford,77,+1 lap,0
13,8,Carlos PacePAC,Brabham Alfa Romeo,76,+2 laps,0
14,30,Brett LungerLUN,March Ford,76,+2 laps,0
15,14,Larry PerkinsPER,BRM,73,+5 laps,0
NC,9,Alex RibeiroRIB,March Ford,66,DNF,0
NC,10,Hans-Joachim StuckSTU,March Ford,55,DNF,0
NC,5,Mario AndrettiAND,Lotus Ford,43,DNF,0
NC,33,Boy HayjeHAY,March Ford,33,DNF,0
NC,16,Tom PrycePRY,Shadow Ford,22,DNF,0
NC,26,Jacques LaffiteLAF,Ligier Matra,22,DNF,0
NC,17,Renzo ZorziZOR,Shadow Ford,21,DNF,0
NC,3,Ronnie PetersonPET,Tyrrell Ford,5,DNF,0
