Pos,No,Driver,Car,Time,Gap,Laps
1,3,Mika HakkinenHAK,McLaren Mercedes,1:16.408,,40
2,4,David CoulthardCOU,McLaren Mercedes,1:16.579,+0.171s,38
3,5,Ralf SchumacherRSC,Williams BMW,1:17.355,+0.947s,43
4,1,Michael SchumacherMSC,Ferrari,1:17.507,+1.099s,49
5,2,Rubens BarrichelloBAR,Ferrari,1:17.665,+1.257s,41
6,6,Juan Pablo MontoyaMOY,Williams BMW,1:17.737,+1.329s,45
7,12,Jarno TrulliTRU,Jordan Honda,1:18.133,+1.725s,39
8,16,Nick HeidfeldHEI,Sauber Petronas,1:18.196,+1.788s,38
9,22,Jean AlesiALE,Prost Acer,1:18.352,+1.944s,47
10,9,Olivier PanisPAN,BAR Honda,1:18.410,+2.002s,50
11,17,Kimi RäikkönenRAI,Sauber Petronas,1:18.413,+2.005s,37
12,10,Jacques VilleneuveVIL,BAR Honda,1:18.434,+2.026s,38
13,19,Pedro de la RosaDLR,Jaguar Cosworth,1:18.473,+2.065s,47
14,7,Giancarlo FisichellaFIS,Benetton Renault,1:19.339,+2.931s,34
15,18,Eddie IrvineIRV,Jaguar Cosworth,1:19.503,+3.095s,23
16,14,Jos VerstappenVER,Arrows Asiatech,1:19.640,+3.232s,23
17,15,Enrique BernoldiBER,Arrows Asiatech,1:19.822,+3.414s,39
18,8,Jenson ButtonBUT,Benetton Renault,1:19.978,+3.570s,32
19,11,Heinz-Harald FrentzenFRE,Jordan Honda,1:19.988,+3.580s,17
20,23,Luciano BurtiBUR,Prost Acer,1:20.094,+3.686s,30
21,21,Fernando AlonsoALO,Minardi European,1:20.183,+3.775s,45
22,20,Tarso MarquesMAR,Minardi European,1:21.129,+4.721s,21
