Pos,No,Driver,Car,Time,Gap,Laps
1,4,David CoulthardCOU,McLaren Mercedes,1:14.935,,35
2,18,Eddie IrvineIRV,Jaguar Cosworth,1:15.133,+0.198s,27
3,10,Jacques VilleneuveVIL,BAR Honda,1:15.224,+0.289s,39
4,3,Mika HakkinenHAK,McLaren Mercedes,1:15.372,+0.437s,33
5,5,Ralf SchumacherRSC,Williams BMW,1:15.537,+0.602s,27
6,6,Juan Pablo MontoyaMOY,Williams BMW,1:15.582,+0.647s,52
7,1,Michael SchumacherMSC,Ferrari,1:15.810,+0.875s,48
8,19,Pedro de la RosaDLR,Jaguar Cosworth,1:16.140,+1.205s,45
9,12,Jarno TrulliTRU,Jordan Honda,1:16.187,+1.252s,52
10,2,Rubens BarrichelloBAR,Ferrari,1:16.325,+1.390s,47
11,9,Olivier PanisPAN,BAR Honda,1:16.364,+1.429s,20
12,23,Luciano BurtiBUR,Prost Acer,1:16.455,+1.520s,50
13,11,Heinz-Harald FrentzenFRE,Jordan Honda,1:16.868,+1.933s,45
14,17,Kimi RäikkönenRAI,Sauber Petronas,1:16.906,+1.971s,25
15,16,Nick HeidfeldHEI,Sauber Petronas,1:17.011,+2.076s,46
16,22,Jean AlesiALE,Prost Acer,1:17.088,+2.153s,32
17,8,Jenson ButtonBUT,Benetton Renault,1:17.172,+2.237s,34
18,14,Jos VerstappenVER,Arrows Asiatech,1:17.285,+2.350s,34
19,15,Enrique BernoldiBER,Arrows Asiatech,1:17.527,+2.592s,23
20,7,Giancarlo FisichellaFIS,Benetton Renault,1:17.566,+2.631s,35
21,21,Fernando AlonsoALO,Minardi European,1:17.866,+2.931s,45
22,20,Tarso MarquesMAR,Minardi European,1:18.372,+3.437s,38
