Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,44,Lewis HamiltonHAM,Mercedes,1:42.323,1:42.014,1:41.252,15
2,77,Valtteri BottasBOT,Mercedes,1:42.534,1:42.126,1:41.763,17
3,33,Max VerstappenVER,Red Bull Racing Honda,1:43.197,1:42.473,1:41.778,17
4,3,Daniel RicciardoRIC,Renault,1:43.309,1:42.487,1:42.061,11
5,23,Alexander AlbonALB,Red Bull Racing Honda,1:43.418,1:42.193,1:42.264,15
6,31,Esteban OconOCO,Renault,1:43.505,1:42.534,1:42.396,15
7,55,Carlos SainzSAI,McLaren Renault,1:43.322,1:42.478,1:42.438,15
8,11,Sergio PerezPER,Racing Point BWT Mercedes,1:43.349,1:42.670,1:42.532,15
9,18,Lance StrollSTR,Racing Point BWT Mercedes,1:43.265,1:42.491,1:42.603,15
10,4,Lando NorrisNOR,McLaren Renault,1:43.514,1:42.722,1:42.657,17
11,26,Daniil KvyatKVY,AlphaTauri Honda,1:43.267,1:42.730,,12
12,10,Pierre GaslyGAS,AlphaTauri Honda,1:43.262,1:42.745,,12
13,16,Charles LeclercLEC,Ferrari,1:43.656,1:42.996,,12
14,5,Sebastian VettelVET,Ferrari,1:43.567,1:43.261,,12
15,63,George RussellRUS,Williams Mercedes,1:43.630,1:43.468,,11
16,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:43.743,,,6
17,8,Romain GrosjeanGRO,Haas Ferrari,1:43.838,,,6
18,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:43.950,,,6
19,6,Nicholas LatifiLAT,Williams Mercedes,1:44.138,,,6
20,20,Kevin MagnussenMAG,Haas Ferrari,1:44.314,,,8
