Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,44,Lewis HamiltonHAM,Mercedes,1:14.907,1:14.261,1:13.447,22
2,77,Valtteri BottasBOT,Mercedes,1:15.474,1:14.530,1:13.554,20
3,18,Lance StrollSTR,Racing Point BWT Mercedes,1:14.895,1:15.176,1:14.377,22
4,11,Sergio PerezPER,Racing Point BWT Mercedes,1:14.681,1:15.394,1:14.545,22
5,5,Sebastian VettelVET,Ferrari,1:15.455,1:15.131,1:14.774,20
6,16,Charles LeclercLEC,Ferrari,1:15.793,1:15.006,1:14.817,20
7,33,Max VerstappenVER,Red Bull Racing Honda,1:15.495,1:14.976,1:14.849,21
8,4,Lando NorrisNOR,McLaren Renault,1:15.444,1:15.085,1:14.966,20
9,55,Carlos SainzSAI,McLaren Renault,1:15.281,1:15.267,1:15.027,21
10,10,Pierre GaslyGAS,AlphaTauri Honda,1:15.767,1:15.508,,14
11,3,Daniel RicciardoRIC,Renault,1:15.848,1:15.661,,14
12,63,George RussellRUS,Williams Mercedes,1:15.585,1:15.698,,14
13,23,Alexander AlbonALB,Red Bull Racing Honda,1:15.722,1:15.715,,16
14,31,Esteban OconOCO,Renault,1:15.719,1:15.742,,14
15,6,Nicholas LatifiLAT,Williams Mercedes,1:16.105,1:16.544,,14
16,20,Kevin MagnussenMAG,Haas Ferrari,1:16.152,,,9
17,26,Daniil KvyatKVY,AlphaTauri Honda,1:16.204,,,9
18,8,Romain GrosjeanGRO,Haas Ferrari,1:16.407,,,8
19,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:16.506,,,12
20,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:16.614,,,12
